snid 	 epoch 	 seed1 	 seed2 	 seed50 	 seed100 	 seed1000 	 seed5000 	 
sn2004gs 	 0.440 	 0.0 	 1.0 	 0.0 	 1.0 	 0.0 	 0.0 	 
sn2003iv 	 1.760 	 1.0 	 0.0 	 0.0 	 0.0 	 0.0 	 1.0 	 
sn2003gq 	 -0.690 	 0.0 	 0.0 	 1.0 	 0.0 	 0.0 	 0.0 	 
sn2005ag 	 0.520 	 1.0 	 1.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2000dm 	 -1.630 	 1.0 	 0.0 	 1.0 	 0.0 	 0.0 	 1.0 	 
sn2005cf 	 -1.190 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2004fu 	 2.430 	 1.0 	 1.0 	 1.0 	 1.0 	 0.0 	 1.0 	 
sn2002fb 	 0.980 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 
sn1999dq 	 0.444 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2007af 	 -2.646 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2001ep 	 1.816 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 
sn2007co 	 -0.204 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2003iv 	 -2.436 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn1996X 	 0.209 	 1.0 	 1.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn1999aa 	 -2.080 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn1998eg 	 -0.732 	 1.0 	 0.0 	 1.0 	 0.0 	 0.0 	 1.0 	 
sn2008ar 	 1.228 	 1.0 	 0.0 	 1.0 	 0.0 	 0.0 	 1.0 	 
sn1998bp 	 0.049 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 
sn2007hj 	 -2.583 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn1998bu 	 -2.543 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2008A 	 -1.880 	 0.0 	 0.0 	 1.0 	 0.0 	 0.0 	 0.0 	 
sn2000cx 	 -1.309 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2001da 	 -2.006 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn1997bp 	 0.793 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn1999dq 	 -2.455 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
