n,identifier,RA_simbad,DEC_simbad,ra_sdss,dec_sdss,distance,objID_DR12,plate,mjd,fiberid
91,AnonJ212342-0050,320.929,-0.843039,320.9290542176,-0.842973481113438,0.00569132523815641,1237657189814371443,4193,55476,377
92,NGC477,20.334971,40.488228,20.334788454548,40.4881839763627,0.00871305351953564,1237666216228880479,,,
93,NGC4055,181.005858,20.232214,181.006127501992,20.2323163543084,0.0162970207086124,1237667915955568663,2608,54474,514
94,NGC6949,308.778871,64.802794,,,,,,,
95,AnonJ100919+1459,152.33204,14.990936,152.332040556819,14.990938570218,3.71341280392339E-4,1237671124305051901,2586,54169,567
96,NGC2841,140.511063,50.976478,140.511195162827,50.9766040646934,0.00904222311627563,1237654652569976914,,,
97,IC4423,216.573808,26.246089,216.573896020737,26.2461298894777,0.00536832870510377,1237665442061156366,,,
98,ESO428-14,109.130142,-29.324736,,,,,,,
99,MCG+01-01-29,1.559254,8.887678,1.55937596858865,8.88771911272686,0.00763381152902327,1237678905172557984,,,
100,NGC382,16.85033,32.40394,,,,,,,
101,UGC11198,274.746704,16.249553,,,,,,,
102,IC1468,346.281587,-3.204581,346.281538022894,-3.20444519422012,0.00863554662087859,1237679996626010245,,,
103,NGC7461,345.451325,15.582403,345.45138588916,15.5825607774167,0.0101001442432147,1237678600225357918,,,
104,AnonJ003617+1123,9.075558,11.393186,9.07557869080028,11.3930702212635,0.0070327848931565,1237678918061064248,,,
105,MCG+05-43-16,275.76715,29.901406,,,,,,,
106,NGC3873,176.442171,19.773844,176.44210817021,19.7737588108124,0.00615240276736118,1237667915416797264,2506,54179,624
107,MCG-02-34-61,202.76912,-15.10153,,,,,,,
108,AnonJ032950+0003,52.46183,0.0545,52.4618048504045,0.0544956827988893,0.00153926312138493,1237663238739985091,415,51810,356
109,NGC105,6.319963,12.883839,6.31980025798055,12.8838532478231,0.00955762268994221,1237678859548033106,,,
110,UGC8162,195.817412,50.620739,195.817133442354,50.620758210634,0.0107167722222754,1237658206125097076,1280,52738,569
111,NGC1309,50.527321,-15.400072,50.527321985986,-15.399945042795,0.00762357634941747,1237667248620109842,,,
112,UGC5378,150.133071,4.407083,150.132522122873,4.40806425986377,0.0674372321809948,1237654605858275535,,,
113,LEDA66592,320.177,44.399742,,,,,,,
114,UGC5129,144.491546,25.494803,144.491654188448,25.4947885929709,0.00588429423740163,1237667112260665437,2294,54524,625
115,NGC4526,188.512621,7.699139,188.512442954974,7.69930740475906,0.0145445707238965,1237661976011866148,,,
116,NGC976,38.500042,20.9768,38.500115332722,20.9767478610742,0.00519909744118586,1237666274745843845,,,
117,MCG-01-38-02,222.152542,-4.736158,,,,,,,
118,UGC40,1.451796,27.449444,1.45163568303263,27.4493605610652,0.00989284563284556,1237663234989818192,7135,56564,336
119,MCG-02-02-86,10.460517,-9.303039,10.4602114396463,-9.30318352091331,0.020069815004388,1237652948530167954,656,52148,390
120,UGC11723,320.072904,-1.684339,320.073268314163,-1.68429644681844,0.0218498350957725,1237666210879701105,,,
121,AnonJ125924+2820,194.850312,28.347175,194.85051593082,28.3472005269464,0.0109096831240786,1237667444585463977,2240,53823,566
122,UGC4414,126.774871,21.645178,126.774835096581,21.6452763169366,0.00625353938152428,1237664835926098002,1927,53321,587
123,MCG+01-57-14,339.883879,8.612925,339.883649520068,8.61286867817146,0.0141136255483766,1237679008779993318,,,
124,UGC646,15.859775,32.237339,15.8598489822321,32.2373541611001,0.00388324806986604,1237680311235051619,6593,56270,280
125,NGC6063,241.804017,7.979008,241.804146212714,7.97899914563666,0.00774945275172291,1237662200437211154,1730,53498,231
126,NGC632,24.323071,5.877481,24.3232050069184,5.87735087823603,0.0111965349460519,1237667227145338897,,,
127,ESO308-25,100.262925,-38.035656,,,,,,,
128,NGC5457,210.802429,54.34875,,,,,,,
129,UGC10743,257.878112,7.994539,,,,,,,
130,MCG+10-16-37,164.695238,59.486778,164.69550251516,59.4868153278309,0.00841224033133424,1237658304890798175,7095,56625,994
131,IC522,133.645475,57.166633,133.64553098625,57.1667074316783,0.00476148440873102,1237651273500196887,448,51900,448
132,NGC6365A,260.682525,62.166158,260.682539458331,62.1660705960974,0.00518484479238431,1237651311607808085,352,51694,87
133,AnonJ225942-0000,344.927733,-0.013292,344.927759004425,-0.0135705384838219,0.0167775346870244,1237666407898939620,4207,55475,739
134,UGC5234,146.706375,16.042853,146.706337241364,16.0428508707174,0.00218625788213538,1237670965388443662,,,
135,NGC2595,126.924942,21.479092,126.925100300618,21.4790826839901,0.00885382117995627,1237674371292135455,2083,53359,442
136,NGC3190,154.523513,21.831939,154.523628977529,21.8322799768036,0.0214009621169534,1237667541755560106,,,
137,UGC2650,49.393621,-1.695092,,,,,,,
138,NGC7448,345.014954,15.980364,345.014989453309,15.9802402846341,0.00769650985209348,1237678600762032255,,,
139,UGC12071,338.101951,30.83555,338.101951016326,30.8355522111491,4.38215188764829E-4,1237680498600444479,6509,56486,311
140,AnonJ112539+2249,171.411717,22.831178,171.41171557135,22.8311740630098,3.20012356796071E-4,1237667783903019164,2496,54178,613
141,NGC6627,275.662171,15.697981,275.656804746227,15.7004957942056,0.344711235809231,1237672156156200006,,,
142,UGC9391,218.65422,59.337826,218.653871448842,59.3382616658914,0.0282511255094183,1237655371442749487,790,52441,403
143,AnonJ145643+0919,224.1801,9.326697,224.18230260729,9.32741341280742,0.137333079455274,1237662198818931075,,,
144,NGC2811,139.04625,-16.312717,,,,,,,
145,MCG+06-06-12,34.576458,37.464253,,,,,,,
146,NGC1316,50.674121,-37.2082,,,,,,,
147,UGC4322,125.007338,62.830517,,,,,,,
148,NGC6962,311.829529,0.320833,311.829440941873,0.320820470840696,0.00532522810555896,1237656895066931656,982,52466,461
149,UGC7934,191.410887,35.083825,191.411022295861,35.0837548815464,0.00776664489809871,1237665025444216980,1987,53765,329
150,AnonJ163729+4052,249.371733,40.880067,249.371981595362,40.8799835045951,0.0122467077463527,1237655375184068788,817,52381,591
151,NGC4321,185.728746,15.822381,185.730168460317,15.8366771512902,0.861697253305327,1237662526839914568,,,
152,MCG+11-08-12,92.126642,64.723756,92.1265779504311,64.7236770597753,0.00493520324851803,1237666464798277949,,,
153,UGC12158,340.543733,19.997003,340.543873092111,19.9969148445387,0.00958612540356073,1237680297273131145,,,
154,UGC11816,327.280458,0.447486,327.280396214873,0.447312896693174,0.0109995846898981,1237663479792992576,371,52078,391
155,MCG+04-42-22,270.390075,26.253031,,,,,,,
