#Regenerated by NED personnel from published spectrum with using UN-SCAN-IT Software.
#Heliocentric Velocity     Flux Density 
#[km/s]                     [mJy]
 5159.800                   0.781200
 5163.430                   0.781700
 5167.000                   1.003800
 5170.660                   0.930300
 5174.540                   0.118000
 5178.180                   0.118500
 5182.230                  -1.285000
 5186.130                  -2.171200
 5189.770                  -2.170800
 5193.380                  -2.096400
 5196.580                  -0.618200
 5200.040                  -0.026600
 5203.670                  -0.026200
 5207.350                  -0.173500
 5211.120                  -0.616400
 5214.940                  -1.207100
 5218.570                  -1.206600
 5222.430                  -1.945100
 5226.040                  -1.870700
 5229.680                  -1.870300
 5233.290                  -1.795900
 5236.820                  -1.426100
 5240.390                  -1.203900
 5244.020                  -1.203500
 5247.570                  -0.907500
 5251.340                  -1.350400
 5254.980                  -1.349900
 5258.940                  -2.457800
 5262.580                  -2.457400
 5265.930                  -1.496400
 5269.570                  -1.495900
 5272.920                  -0.534900
 5276.490                  -0.312800
 5280.120                  -0.312300
 5283.100                   1.904800
 5286.950                   1.166300
 5290.770                   0.575700
 5294.400                   0.576100
 5298.040                   0.576600
 5301.320                   1.759200
 5304.780                   2.350800
 5308.420                   2.351200
 5312.280                   1.612800
 5316.090                   1.022100
 5319.720                   1.022600
 5323.380                   0.949100
 5327.020                   0.949600
 5330.830                   0.358900
 5334.470                   0.359400
 5338.850                  -2.152400
 5342.800                  -3.186400
 5346.430                  -3.186000
 5350.050                  -3.111600
 5353.600                  -2.815600
 5356.730                  -1.115700
 5360.360                  -1.115300
 5363.980                  -1.040900
 5367.610                  -1.040500
 5371.250                  -1.040000
 5374.580                  -0.005100
 5378.010                   0.660300
 5381.690                   0.513000
 5385.330                   0.513400
 5389.390                  -0.890000
 5393.020                  -0.889600
 5396.350                   0.145300
 5399.990                   0.145800
 5403.670                  -0.001600
 5407.550                  -0.813900
 5411.180                  -0.813400
 5415.020                  -1.478000
 5418.630                  -1.403700
 5422.220                  -1.255400
 5425.860                  -1.255000
 5429.250                  -0.441800
 5432.840                  -0.293500
 5436.480                  -0.293100
 5440.210                  -0.588200
 5444.060                  -1.326600
 5447.680                  -1.252300
 5451.310                  -1.251800
 5454.770                  -0.660300
 5457.880                   1.113500
 5461.520                   1.113900
 5465.150                   1.114400
 5468.770                   1.188700
 5472.980                  -0.731900
 5476.610                  -0.731500
 5480.180                  -0.509400
 5483.840                  -0.582800
 5487.830                  -1.764600
 5491.460                  -1.764100
 5495.100                  -1.763700
 5498.230                  -0.063800
 5501.870                  -0.063400
 5505.500                  -0.062900
 5509.650                  -1.761900
 5513.350                  -1.983100
 5516.980                  -1.982700
 5520.420                  -1.317200
 5523.570                   0.308800
 5527.210                   0.309200
 5530.490                   1.491900
 5534.150                   1.418400
 5537.770                   1.492800
 5541.400                   1.493200
 5545.520                  -0.131900
 5549.050                   0.238000
 5552.690                   0.238500
 5556.210                   0.608400
 5559.910                   0.387100
 5563.730                  -0.203500
 5567.360                  -0.203100
 5571.370                  -1.458700
 5575.010                  -1.458300
 5578.510                  -1.014500
 5582.150                  -1.014100
 5585.630                  -0.496400
 5589.050                   0.242900
 5592.680                   0.243400
 5596.320                   0.243800
 5599.890                   0.466000
 5603.550                   0.392500
 5607.190                   0.393000
 5610.840                   0.319500
 5614.440                   0.467700
 5618.070                   0.468200
 5621.580                   0.912000
 5625.230                   0.838500
 5629.250                  -0.417100
 5632.880                  -0.416700
 5636.320                   0.248800
 5639.850                   0.618700
 5643.480                   0.619100
 5647.120                   0.619600
 5651.170                  -0.783900
 5654.810                  -0.783400
 5658.450                  -0.783000
 5662.610                  -2.555900
 5666.270                  -2.629300
 5669.620                  -1.668300
 5673.250                  -1.667900
 5676.520                  -0.411300
 5679.340                   2.323000
 5682.970                   2.323400
 5686.610                   2.324000
 5690.510                   1.437700
 5694.570                   0.034300
 5698.200                   0.034700
 5702.430                  -1.959800
 5706.070                  -1.959400
 5709.700                  -1.958900
 5713.160                  -1.367400
 5716.600                  -0.701900
 5719.970                   0.185200
 5723.610                   0.185600
 5727.180                   0.407700
 5730.680                   0.851500
 5734.320                   0.852000
 5737.910                   1.000200
 5741.370                   1.591700
 5745.010                   1.592200
 5748.650                   1.592700
 5752.370                   1.297500
 5755.940                   1.519700
 5759.580                   1.520100
 5763.210                   1.520600
 5767.050                   0.856000
 5770.770                   0.560900
