#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#             [km/s]               [mJy]               [mJy]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
              4728.2               8.545                       |         1.39835154e+09      8.54500000e-29                    
              4736.8               2.524                       |         1.39831205e+09      2.52400000e-29                    
              4745.5             -0.7599                       |         1.39827210e+09     -7.59900000e-30                    
              4754.1             -0.3639                       |         1.39823262e+09     -3.63900000e-30                    
              4762.8             -0.4759                       |         1.39819268e+09     -4.75900000e-30                    
              4771.4              -1.263                       |         1.39815320e+09     -1.26300000e-29                    
                4780              -2.281                       |         1.39811372e+09     -2.28100000e-29                    
              4788.7               -3.02                       |         1.39807378e+09     -3.02000000e-29                    
              4797.3              -3.303                       |         1.39803431e+09     -3.30300000e-29                    
                4806              -2.896                       |         1.39799438e+09     -2.89600000e-29                    
              4814.6              -1.761                       |         1.39795491e+09     -1.76100000e-29                    
              4823.3             -0.8209                       |         1.39791498e+09     -8.20900000e-30                    
              4831.9             -0.7629                       |         1.39787551e+09     -7.62900000e-30                    
              4840.6             -0.6709                       |         1.39783559e+09     -6.70900000e-30                    
              4849.2              0.2351                       |         1.39779613e+09      2.35100000e-30                    
              4857.9                   1                       |         1.39775621e+09      1.00000000e-29                    
              4866.5              0.4721                       |         1.39771676e+09      4.72100000e-30                    
              4875.2             -0.8559                       |         1.39767685e+09     -8.55900000e-30                    
              4883.8              -1.424                       |         1.39763739e+09     -1.42400000e-29                    
              4892.5             -0.8739                       |         1.39759749e+09     -8.73900000e-30                    
              4901.1             -0.3699                       |         1.39755804e+09     -3.69900000e-30                    
              4909.8             -0.5539                       |         1.39751813e+09     -5.53900000e-30                    
              4918.4             -0.9269                       |         1.39747869e+09     -9.26900000e-30                    
              4927.1              -1.069                       |         1.39743879e+09     -1.06900000e-29                    
              4935.7              -1.096                       |         1.39739935e+09     -1.09600000e-29                    
              4944.4              -1.111                       |         1.39735946e+09     -1.11100000e-29                    
                4953              -1.137                       |         1.39732003e+09     -1.13700000e-29                    
              4961.7              -1.118                       |         1.39728014e+09     -1.11800000e-29                    
              4970.3             -0.8979                       |         1.39724071e+09     -8.97900000e-30                    
                4979             -0.7799                       |         1.39720082e+09     -7.79900000e-30                    
              4987.7              -1.004                       |         1.39716094e+09     -1.00400000e-29                    
              4996.3             -0.7469                       |         1.39712151e+09     -7.46900000e-30                    
                5005              0.2161                       |         1.39708164e+09      2.16100000e-30                    
              5013.6              0.5331                       |         1.39704222e+09      5.33100000e-30                    
              5022.3              0.3051                       |         1.39700234e+09      3.05100000e-30                    
              5030.9               1.057                       |         1.39696293e+09      1.05700000e-29                    
              5039.6               2.503                       |         1.39692306e+09      2.50300000e-29                    
              5048.3                3.17                       |         1.39688319e+09      3.17000000e-29                    
              5056.9               2.367                       |         1.39684379e+09      2.36700000e-29                    
              5065.6               1.106                       |         1.39680392e+09      1.10600000e-29                    
              5074.2              0.7751                       |         1.39676452e+09      7.75100000e-30                    
              5082.9              0.8491                       |         1.39672466e+09      8.49100000e-30                    
              5091.6              0.9101                       |         1.39668481e+09      9.10100000e-30                    
              5100.2               1.658                       |         1.39664541e+09      1.65800000e-29                    
              5108.9                2.39                       |         1.39660556e+09      2.39000000e-29                    
              5117.6               2.171                       |         1.39656571e+09      2.17100000e-29                    
              5126.2               1.898                       |         1.39652632e+09      1.89800000e-29                    
              5134.9               1.963                       |         1.39648647e+09      1.96300000e-29                    
              5143.6               1.636                       |         1.39644663e+09      1.63600000e-29                    
              5152.2               1.217                       |         1.39640725e+09      1.21700000e-29                    
              5160.9               1.081                       |         1.39636741e+09      1.08100000e-29                    
              5169.5               1.096                       |         1.39632803e+09      1.09600000e-29                    
              5178.2               1.489                       |         1.39628820e+09      1.48900000e-29                    
              5186.9                 1.8                       |         1.39624837e+09      1.80000000e-29                    
              5195.6               1.435                       |         1.39620854e+09      1.43500000e-29                    
