#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
             5081.42         1.17545e-15         2.65754e-17   |         5.89977721e+14      1.01240351e-29      2.28891303e-31
             5084.17         1.15036e-15         2.63522e-17   |         5.89658605e+14      9.91866438e-30      2.27214635e-31
             5086.92         1.08071e-15         2.55759e-17   |         5.89339834e+14      9.32820928e-30      2.20759823e-31
             5089.67         1.08284e-15         2.56193e-17   |         5.89021408e+14      9.35670281e-30      2.21373588e-31
             5092.42         1.11447e-15         2.59719e-17   |         5.88703326e+14      9.64042340e-30      2.24662945e-31
             5095.17         1.13721e-15          2.6145e-17   |         5.88385587e+14      9.84775699e-30      2.26404628e-31
             5097.92         1.16639e-15         2.64588e-17   |         5.88068191e+14      1.01113493e-29      2.29369396e-31
             5100.67         1.16215e-15         2.64302e-17   |         5.87751137e+14      1.00854652e-29      2.29368724e-31
             5103.42         1.19374e-15         2.67451e-17   |         5.87434424e+14      1.03707858e-29      2.32351855e-31
             5106.17         1.21094e-15         2.68971e-17   |         5.87118053e+14      1.05315540e-29      2.33924275e-31
             5108.92         1.19344e-15         2.66895e-17   |         5.86802023e+14      1.03905393e-29      2.32368866e-31
             5111.67         1.16336e-15         2.64196e-17   |         5.86486332e+14      1.01395584e-29      2.30266708e-31
             5114.42         1.17641e-15         2.64932e-17   |         5.86170981e+14      1.02643342e-29      2.31156704e-31
             5117.17          1.1764e-15         2.64761e-17   |         5.85855969e+14      1.02752880e-29      2.31255994e-31
             5119.92         1.18502e-15         2.66052e-17   |         5.85541296e+14      1.03617074e-29      2.32633457e-31
             5122.67         1.20243e-15         2.67442e-17   |         5.85226960e+14      1.05252364e-29      2.34100136e-31
             5125.42         1.22294e-15         2.69018e-17   |         5.84912961e+14      1.07162630e-29      2.35732550e-31
             5128.17         1.24461e-15         2.71172e-17   |         5.84599300e+14      1.09178572e-29      2.37875091e-31
             5130.92         1.30182e-15         2.77083e-17   |         5.84285974e+14      1.14319607e-29      2.43321040e-31
             5133.67         1.29412e-15         2.76949e-17   |         5.83972984e+14      1.13765280e-29      2.43464135e-31
             5136.42         1.27678e-15         2.75148e-17   |         5.83660330e+14      1.12361214e-29      2.42140097e-31
             5139.17         1.24673e-15         2.72582e-17   |         5.83348010e+14      1.09834221e-29      2.40138856e-31
             5141.92         1.21555e-15         2.69213e-17   |         5.83036024e+14      1.07201967e-29      2.37424731e-31
             5144.67          1.2323e-15         2.70461e-17   |         5.82724371e+14      1.08795464e-29      2.38780573e-31
             5147.42         1.23359e-15          2.7034e-17   |         5.82413052e+14      1.09025816e-29      2.38928973e-31
             5150.17         1.22842e-15         2.69768e-17   |         5.82102065e+14      1.08684923e-29      2.38678257e-31
             5152.92         1.20634e-15         2.67445e-17   |         5.81791410e+14      1.06845399e-29      2.36875737e-31
             5155.67         1.19692e-15         2.66672e-17   |         5.81481086e+14      1.06124252e-29      2.36443259e-31
             5158.42         1.18162e-15         2.64833e-17   |         5.81171093e+14      1.04879481e-29      2.35063282e-31
             5161.17         1.21108e-15         2.67657e-17   |         5.80861431e+14      1.07608965e-29      2.37823206e-31
             5163.92         1.23789e-15         2.70005e-17   |         5.80552098e+14      1.10108377e-29      2.40165219e-31
             5166.67         1.24005e-15         2.69853e-17   |         5.80243095e+14      1.10418016e-29      2.40285738e-31
             5169.42         1.22501e-15         2.67625e-17   |         5.79934420e+14      1.09194953e-29      2.38555599e-31
             5172.17         1.23413e-15          2.6882e-17   |         5.79626074e+14      1.10124966e-29      2.39875810e-31
             5174.92         1.22281e-15         2.67689e-17   |         5.79318055e+14      1.09230912e-29      2.39120660e-31
             5177.67         1.22944e-15         2.68049e-17   |         5.79010364e+14      1.09939908e-29      2.39696792e-31
             5180.42         1.20661e-15         2.66001e-17   |         5.78702999e+14      1.08013032e-29      2.38118154e-31
             5183.17         1.17222e-15         2.62082e-17   |         5.78395960e+14      1.05045954e-29      2.34859102e-31
             5185.92         1.22296e-15         2.67236e-17   |         5.78089247e+14      1.09709232e-29      2.39731931e-31
             5188.67         1.27072e-15         2.72152e-17   |         5.77782860e+14      1.14114613e-29      2.44400971e-31
             5191.42         1.28276e-15         2.73597e-17   |         5.77476796e+14      1.15317983e-29      2.45959136e-31
             5194.17         1.23131e-15         2.68954e-17   |         5.77171057e+14      1.10810017e-29      2.42041381e-31
             5196.92         1.20012e-15         2.66337e-17   |         5.76865642e+14      1.08117509e-29      2.39940115e-31
             5199.67         1.16924e-15         2.63567e-17   |         5.76560549e+14      1.05447072e-29      2.37696010e-31
             5202.42         1.16105e-15         2.61987e-17   |         5.76255779e+14      1.04819248e-29      2.36521083e-31
             5205.17         1.19971e-15          2.6482e-17   |         5.75951331e+14      1.08423996e-29      2.39331528e-31
             5207.92         1.19183e-15         2.63709e-17   |         5.75647205e+14      1.07825683e-29      2.38579353e-31
             5210.67         1.19402e-15         2.63659e-17   |         5.75343399e+14      1.08137926e-29      2.38786096e-31
             5213.42         1.23139e-15         2.67578e-17   |         5.75039914e+14      1.11640133e-29      2.42591247e-31
             5216.17         1.22793e-15         2.67258e-17   |         5.74736749e+14      1.11443920e-29      2.42556816e-31
             5218.92         1.19907e-15         2.64276e-17   |         5.74433904e+14      1.08939433e-29      2.40103394e-31
             5221.67         1.16581e-15         2.61064e-17   |         5.74131378e+14      1.06029305e-29      2.37435213e-31
             5224.42         1.12136e-15         2.56522e-17   |         5.73829170e+14      1.02094071e-29      2.33550112e-31
             5227.17         1.14524e-15         2.58651e-17   |         5.73527280e+14      1.04378020e-29      2.35736432e-31
             5229.92          1.2085e-15         2.64874e-17   |         5.73225707e+14      1.10259506e-29      2.41662196e-31
             5232.67          1.2191e-15         2.66343e-17   |         5.72924452e+14      1.11343616e-29      2.43258081e-31
             5235.42         1.16372e-15         2.60897e-17   |         5.72623513e+14      1.06397359e-29      2.38534629e-31
             5238.17         1.10837e-15         2.54964e-17   |         5.72322889e+14      1.01443269e-29      2.33355122e-31
             5240.92         1.06661e-15         2.50371e-17   |         5.72022582e+14      9.77237238e-30      2.29392059e-31
             5243.67         1.01486e-15         2.44953e-17   |         5.71722589e+14      9.30799488e-30      2.24663626e-31
             5246.42         1.00315e-15         2.43404e-17   |         5.71422911e+14      9.21024712e-30      2.23477146e-31
             5249.17          1.0472e-15         2.47798e-17   |         5.71123547e+14      9.62476657e-30      2.27749991e-31
             5251.92         1.07294e-15         2.50403e-17   |         5.70824497e+14      9.87167698e-30      2.30385439e-31
             5254.67         1.09608e-15         2.53133e-17   |         5.70525759e+14      1.00951422e-29      2.33141161e-31
             5257.42          1.1173e-15         2.55676e-17   |         5.70227334e+14      1.03013570e-29      2.35729863e-31
             5260.17         1.12392e-15         2.56184e-17   |         5.69929221e+14      1.03732359e-29      2.36445394e-31
             5262.92         1.13913e-15         2.57546e-17   |         5.69631419e+14      1.05246127e-29      2.37951059e-31
             5265.67         1.18136e-15         2.61329e-17   |         5.69333929e+14      1.09261922e-29      2.41698625e-31
             5268.42         1.22834e-15         2.65813e-17   |         5.69036749e+14      1.13725713e-29      2.46102651e-31
             5271.17         1.23645e-15         2.66431e-17   |         5.68739879e+14      1.14596116e-29      2.46932411e-31
             5273.92         1.25549e-15         2.68549e-17   |         5.68443319e+14      1.16482217e-29      2.49155174e-31
             5276.67         1.25635e-15         2.69237e-17   |         5.68147068e+14      1.16683597e-29      2.50054058e-31
             5279.42         1.20932e-15         2.64539e-17   |         5.67851126e+14      1.12432782e-29      2.45946944e-31
             5282.17         1.17722e-15         2.61018e-17   |         5.67555491e+14      1.09562435e-29      2.42926281e-31
             5284.92          1.2051e-15         2.64242e-17   |         5.67260165e+14      1.12274006e-29      2.46182954e-31
             5287.67         1.26798e-15         2.70514e-17   |         5.66965145e+14      1.18255238e-29      2.52288659e-31
             5290.42          1.3052e-15         2.74376e-17   |         5.66670433e+14      1.21853123e-29      2.56156700e-31
             5293.17         1.28549e-15         2.72623e-17   |         5.66376026e+14      1.20137802e-29      2.54784775e-31
             5295.92         1.28586e-15         2.72076e-17   |         5.66081925e+14      1.20297282e-29      2.54537844e-31
             5298.67         1.28472e-15         2.71856e-17   |         5.65788130e+14      1.20315485e-29      2.54596227e-31
             5301.42         1.27532e-15         2.71333e-17   |         5.65494639e+14      1.19559170e-29      2.54370262e-31
             5304.17         1.27948e-15         2.71903e-17   |         5.65201453e+14      1.20073637e-29      2.55169149e-31
             5306.92         1.27634e-15         2.71485e-17   |         5.64908570e+14      1.19903195e-29      2.55041126e-31
             5309.67         1.29663e-15         2.73882e-17   |         5.64615991e+14      1.21935572e-29      2.57559662e-31
             5312.42         1.35061e-15         2.78835e-17   |         5.64323715e+14      1.27143471e-29      2.62489169e-31
             5315.17         1.36814e-15         2.80333e-17   |         5.64031741e+14      1.28927083e-29      2.64172642e-31
             5317.92         1.36176e-15         2.79723e-17   |         5.63740069e+14      1.28458684e-29      2.63870641e-31
             5320.67         1.37397e-15          2.8143e-17   |         5.63448699e+14      1.29744571e-29      2.65755544e-31
             5323.42         1.32319e-15         2.76405e-17   |         5.63157630e+14      1.25078588e-29      2.61280293e-31
             5326.17         1.29375e-15         2.73172e-17   |         5.62866861e+14      1.22422067e-29      2.58491059e-31
             5328.92         1.30947e-15         2.74623e-17   |         5.62576393e+14      1.24037570e-29      2.60132493e-31
             5331.67         1.31995e-15         2.75689e-17   |         5.62286224e+14      1.25159350e-29      2.61411841e-31
             5334.42          1.3124e-15         2.75439e-17   |         5.61996354e+14      1.24571855e-29      2.61444278e-31
             5337.17         1.25867e-15         2.70376e-17   |         5.61706783e+14      1.19595062e-29      2.56903196e-31
             5339.92          1.1787e-15         2.61755e-17   |         5.61417510e+14      1.12111995e-29      2.48968145e-31
             5342.67         1.12926e-15         2.56957e-17   |         5.61128535e+14      1.07520170e-29      2.44656326e-31
             5345.42          1.1175e-15         2.56139e-17   |         5.60839857e+14      1.06510027e-29      2.44128607e-31
             5348.17          1.1576e-15         2.59827e-17   |         5.60551476e+14      1.10445550e-29      2.47898547e-31
             5350.92         1.22257e-15         2.66167e-17   |         5.60263392e+14      1.16764264e-29      2.54208707e-31
             5353.67         1.31763e-15         2.75168e-17   |         5.59975604e+14      1.25972563e-29      2.63075508e-31
             5356.42         1.35004e-15          2.7792e-17   |         5.59688111e+14      1.29203768e-29      2.65979609e-31
             5359.17         1.33507e-15         2.76307e-17   |         5.59400913e+14      1.27902313e-29      2.64707502e-31
             5361.92         1.35906e-15         2.78522e-17   |         5.59114010e+14      1.30334259e-29      2.67103427e-31
             5364.67         1.38268e-15         2.80665e-17   |         5.58827400e+14      1.32735473e-29      2.69434731e-31
             5367.42         1.39443e-15         2.81776e-17   |         5.58541085e+14      1.34000733e-29      2.70778673e-31
             5370.17         1.37278e-15         2.79527e-17   |         5.58255063e+14      1.32055443e-29      2.68892771e-31
             5372.92         1.34121e-15         2.76555e-17   |         5.57969333e+14      1.29150719e-29      2.66306372e-31
             5375.67         1.32173e-15         2.74782e-17   |         5.57683896e+14      1.27405226e-29      2.64870003e-31
             5378.42         1.33637e-15          2.7621e-17   |         5.57398751e+14      1.28948246e-29      2.66518966e-31
             5381.17         1.38371e-15         2.80071e-17   |         5.57113897e+14      1.33652719e-29      2.70520924e-31
             5383.92         1.41562e-15         2.83815e-17   |         5.56829334e+14      1.36874700e-29      2.74417521e-31
             5386.67         1.43272e-15         2.85095e-17   |         5.56545062e+14      1.38669631e-29      2.75936809e-31
             5389.42         1.43067e-15         2.83906e-17   |         5.56261080e+14      1.38612637e-29      2.75066642e-31
             5392.17         1.40232e-15         2.81487e-17   |         5.55977388e+14      1.36004593e-29      2.73001347e-31
             5394.92         1.40004e-15         2.81489e-17   |         5.55693984e+14      1.35922000e-29      2.73281820e-31
             5397.67         1.37088e-15         2.78603e-17   |         5.55410870e+14      1.33226738e-29      2.70755784e-31
             5400.42          1.3153e-15          2.7308e-17   |         5.55128044e+14      1.27955568e-29      2.65658835e-31
             5403.17         1.27753e-15         2.68733e-17   |         5.54845506e+14      1.24407816e-29      2.61696286e-31
             5405.92         1.27271e-15         2.68558e-17   |         5.54563255e+14      1.24064629e-29      2.61792149e-31
             5408.67         1.27975e-15           2.691e-17   |         5.54281291e+14      1.24877847e-29      2.62587448e-31
             5411.42         1.32702e-15         2.73927e-17   |         5.53999614e+14      1.29622158e-29      2.67569509e-31
             5414.17          1.3282e-15         2.73616e-17   |         5.53718223e+14      1.29869314e-29      2.67537437e-31
             5416.92          1.3179e-15         2.72328e-17   |         5.53437117e+14      1.28993135e-29      2.66548618e-31
             5419.67         1.34113e-15          2.7477e-17   |         5.53156297e+14      1.31400150e-29      2.69211927e-31
             5422.42         1.33821e-15         2.74414e-17   |         5.52875762e+14      1.31247147e-29      2.69136045e-31
             5425.17         1.37717e-15         2.77838e-17   |         5.52595511e+14      1.35205249e-29      2.72770653e-31
             5427.92         1.38549e-15         2.78537e-17   |         5.52315544e+14      1.36160008e-29      2.73734203e-31
             5430.67         1.36918e-15         2.77275e-17   |         5.52035861e+14      1.34693509e-29      2.72770146e-31
             5433.42         1.40995e-15         2.80714e-17   |         5.51756461e+14      1.38844782e-29      2.76433023e-31
             5436.17         1.41115e-15         2.81045e-17   |         5.51477343e+14      1.39103653e-29      2.77039196e-31
             5438.92         1.38341e-15         2.78725e-17   |         5.51198508e+14      1.36507197e-29      2.75030312e-31
             5441.67         1.35104e-15         2.75488e-17   |         5.50919955e+14      1.33447950e-29      2.72111179e-31
             5444.42         1.33112e-15         2.73111e-17   |         5.50641683e+14      1.31613290e-29      2.70036039e-31
             5447.17         1.33046e-15         2.72853e-17   |         5.50363692e+14      1.31680958e-29      2.70053548e-31
             5449.92          1.3169e-15         2.72201e-17   |         5.50085981e+14      1.30470506e-29      2.69680327e-31
             5452.67         1.35499e-15         2.75926e-17   |         5.49808551e+14      1.34379746e-29      2.73646785e-31
             5455.42         1.38837e-15         2.79438e-17   |         5.49531400e+14      1.37829093e-29      2.77409381e-31
             5458.17         1.36335e-15         2.77933e-17   |         5.49254529e+14      1.35481743e-29      2.76193547e-31
             5460.92         1.37358e-15         2.79538e-17   |         5.48977936e+14      1.36635919e-29      2.78068490e-31
             5463.67         1.37543e-15          2.7959e-17   |         5.48701622e+14      1.36957781e-29      2.78400397e-31
             5466.42         1.34374e-15         2.75852e-17   |         5.48425586e+14      1.33936990e-29      2.74954876e-31
             5469.17         1.28692e-15         2.69774e-17   |         5.48149827e+14      1.28402563e-29      2.69167259e-31
             5471.92         1.29034e-15         2.69587e-17   |         5.47874346e+14      1.28873296e-29      2.69251245e-31
             5474.67         1.29714e-15         2.70069e-17   |         5.47599141e+14      1.29682699e-29      2.70003830e-31
             5477.42         1.25975e-15         2.67071e-17   |         5.47324213e+14      1.26071160e-29      2.67274862e-31
             5480.17         1.23948e-15         2.64885e-17   |         5.47049561e+14      1.24167198e-29      2.65353441e-31
             5482.92         1.25472e-15         2.65829e-17   |         5.46775184e+14      1.25820074e-29      2.66566440e-31
             5485.67         1.26858e-15         2.67898e-17   |         5.46501082e+14      1.27337557e-29      2.68910725e-31
             5488.42         1.25895e-15          2.6628e-17   |         5.46227255e+14      1.26497649e-29      2.67554661e-31
             5491.17         1.33527e-15         2.73888e-17   |         5.45953702e+14      1.34300666e-29      2.75474928e-31
             5493.92         1.34201e-15         2.74684e-17   |         5.45680423e+14      1.35113800e-29      2.76552329e-31
             5496.67         1.33841e-15         2.74114e-17   |         5.45407418e+14      1.34886286e-29      2.76254805e-31
             5499.42         1.35566e-15         2.76111e-17   |         5.45134685e+14      1.36761500e-29      2.78545907e-31
             5502.17         1.35981e-15         2.76204e-17   |         5.44862225e+14      1.37317389e-29      2.78918466e-31
             5504.92         1.33972e-15         2.74569e-17   |         5.44590038e+14      1.35423914e-29      2.77544625e-31
             5507.67         1.31388e-15          2.7187e-17   |         5.44318122e+14      1.32944636e-29      2.75091014e-31
             5510.42         1.32137e-15         2.72567e-17   |         5.44046477e+14      1.33836060e-29      2.76071753e-31
             5513.17         1.32596e-15         2.73038e-17   |         5.43775104e+14      1.34435042e-29      2.76824904e-31
             5515.92         1.33966e-15         2.74053e-17   |         5.43504001e+14      1.35959577e-29      2.78131241e-31
             5518.67         1.36177e-15         2.76082e-17   |         5.43233168e+14      1.38341318e-29      2.80469886e-31
             5521.42         1.35099e-15         2.75357e-17   |         5.42962606e+14      1.37383001e-29      2.80012220e-31
             5524.17         1.35192e-15         2.75723e-17   |         5.42692312e+14      1.37614551e-29      2.80663774e-31
             5526.92         1.30263e-15         2.70848e-17   |         5.42422288e+14      1.32729277e-29      2.75975981e-31
             5529.67         1.32763e-15          2.7291e-17   |         5.42152532e+14      1.35411261e-29      2.78353812e-31
             5532.42         1.33898e-15         2.74103e-17   |         5.41883044e+14      1.36704771e-29      2.79848749e-31
             5535.17         1.28439e-15         2.68948e-17   |         5.41613824e+14      1.31261735e-29      2.74858734e-31
             5537.92         1.33089e-15         2.73867e-17   |         5.41344871e+14      1.36149112e-29      2.80164017e-31
             5540.67         1.32237e-15         2.72622e-17   |         5.41076186e+14      1.35411907e-29      2.79167440e-31
             5543.42         1.33612e-15         2.73145e-17   |         5.40807767e+14      1.36955769e-29      2.79980716e-31
             5546.17         1.37241e-15         2.77164e-17   |         5.40539614e+14      1.40815196e-29      2.84382240e-31
             5548.92         1.33526e-15         2.73286e-17   |         5.40271727e+14      1.37139342e-29      2.80681382e-31
             5551.67         1.33139e-15         2.70437e-17   |         5.40004105e+14      1.36877439e-29      2.78030660e-31
             5554.42         1.31636e-15         2.71092e-17   |         5.39736748e+14      1.35466342e-29      2.78980231e-31
             5557.17         1.28488e-15         2.66788e-17   |         5.39469656e+14      1.32357705e-29      2.74822921e-31
             5559.92         1.29387e-15         2.70065e-17   |         5.39202828e+14      1.33415726e-29      2.78474020e-31
             5562.67         1.31696e-15         2.74503e-17   |         5.38936264e+14      1.35930988e-29      2.83330276e-31
             5565.42          1.2962e-15         2.75412e-17   |         5.38669964e+14      1.33920543e-29      2.84549642e-31
             5568.17         1.30486e-15         2.82393e-17   |         5.38403926e+14      1.34948539e-29      2.92050662e-31
             5570.92          1.3504e-15         3.03776e-17   |         5.38138151e+14      1.39796265e-29      3.14475342e-31
             5573.67         1.35136e-15         3.65714e-17   |         5.37872639e+14      1.40033795e-29      3.78968738e-31
             5576.42         1.32243e-15         4.52389e-17   |         5.37607388e+14      1.37171201e-29      4.69247842e-31
             5579.17         1.40285e-15         4.73245e-17   |         5.37342399e+14      1.45656450e-29      4.91365341e-31
             5581.92         1.31913e-15         4.16098e-17   |         5.37077670e+14      1.37098944e-29      4.32456212e-31
             5584.67         1.34235e-15         3.32285e-17   |         5.36813203e+14      1.39649728e-29      3.45688605e-31
             5587.42         1.28928e-15         2.85041e-17   |         5.36548996e+14      1.34260784e-29      2.96831006e-31
             5590.17         1.34729e-15         2.72174e-17   |         5.36285049e+14      1.40439868e-29      2.83710861e-31
             5592.92           1.339e-15         2.70774e-17   |         5.36021361e+14      1.39713087e-29      2.82529285e-31
             5595.67         1.35626e-15         2.70484e-17   |         5.35757932e+14      1.41653216e-29      2.82504301e-31
             5598.42         1.38849e-15         2.72845e-17   |         5.35494763e+14      1.45162021e-29      2.85250391e-31
             5601.17         1.33837e-15         2.74072e-17   |         5.35231852e+14      1.40059637e-29      2.86814744e-31
             5603.92         1.36288e-15         2.73804e-17   |         5.34969198e+14      1.42764677e-29      2.86815711e-31
             5606.67         1.28996e-15         2.68517e-17   |         5.34706803e+14      1.35258800e-29      2.81553592e-31
             5609.42         1.30026e-15         2.69526e-17   |         5.34444665e+14      1.36472584e-29      2.82888882e-31
             5612.17         1.30303e-15         2.69238e-17   |         5.34182783e+14      1.36897446e-29      2.82863745e-31
             5614.92          1.3498e-15         2.73959e-17   |         5.33921158e+14      1.41950153e-29      2.88105808e-31
             5617.67         1.39187e-15         2.77182e-17   |         5.33659790e+14      1.46517810e-29      2.91780838e-31
             5620.42          1.3882e-15         2.77023e-17   |         5.33398677e+14      1.46274586e-29      2.91899039e-31
             5623.17         1.36271e-15         2.74814e-17   |         5.33137819e+14      1.43729252e-29      2.89854853e-31
             5625.92         1.35552e-15         2.74667e-17   |         5.32877217e+14      1.43110774e-29      2.89983231e-31
             5628.67          1.3757e-15          2.7603e-17   |         5.32616869e+14      1.45383329e-29      2.91707205e-31
             5631.42          1.3572e-15         2.74527e-17   |         5.32356775e+14      1.43568441e-29      2.90402398e-31
             5634.17         1.36802e-15         2.75414e-17   |         5.32096935e+14      1.44854381e-29      2.91625302e-31
             5636.92         1.36677e-15         2.74801e-17   |         5.31837349e+14      1.44863334e-29      2.91260337e-31
             5639.67         1.39626e-15         2.78145e-17   |         5.31578016e+14      1.48133395e-29      2.95092341e-31
             5642.42         1.35239e-15         2.74425e-17   |         5.31318936e+14      1.43619056e-29      2.91429686e-31
             5645.17          1.3516e-15          2.7458e-17   |         5.31060108e+14      1.43675107e-29      2.91878594e-31
             5647.92         1.34484e-15          2.7432e-17   |         5.30801532e+14      1.43095833e-29      2.91886387e-31
             5650.67         1.30812e-15         2.70258e-17   |         5.30543208e+14      1.39324269e-29      2.87844373e-31
             5653.42         1.36525e-15         2.75898e-17   |         5.30285135e+14      1.45550594e-29      2.94137468e-31
             5656.17         1.35358e-15         2.74516e-17   |         5.30027314e+14      1.44446869e-29      2.92948896e-31
             5658.92          1.3755e-15         2.76779e-17   |         5.29769742e+14      1.46928823e-29      2.95651128e-31
             5661.67         1.34296e-15         2.74437e-17   |         5.29512421e+14      1.43592408e-29      2.93434425e-31
             5664.42         1.33003e-15         2.72986e-17   |         5.29255350e+14      1.42348085e-29      2.92166599e-31
             5667.17         1.31074e-15         2.72114e-17   |         5.28998528e+14      1.40419793e-29      2.91516179e-31
             5669.92         1.31965e-15         2.72841e-17   |         5.28741956e+14      1.41511561e-29      2.92578757e-31
             5672.67         1.29126e-15         2.71559e-17   |         5.28485632e+14      1.38601533e-29      2.91486561e-31
             5675.42         1.30775e-15         2.72319e-17   |         5.28229557e+14      1.40507672e-29      2.92585805e-31
             5678.17         1.34138e-15         2.76103e-17   |         5.27973729e+14      1.44260656e-29      2.96938973e-31
             5680.92         1.31121e-15         2.73544e-17   |         5.27718150e+14      1.41152604e-29      2.94471885e-31
             5683.67         1.38024e-15         2.80504e-17   |         5.27462817e+14      1.48727615e-29      3.02256788e-31
             5686.42         1.36256e-15         2.79804e-17   |         5.27207732e+14      1.46964621e-29      3.01794334e-31
             5689.17         1.38373e-15         2.82109e-17   |         5.26952893e+14      1.49392390e-29      3.04574864e-31
             5691.92           1.377e-15         2.81867e-17   |         5.26698300e+14      1.48809553e-29      3.04607859e-31
             5694.67          1.3955e-15         2.82233e-17   |         5.26443954e+14      1.50954568e-29      3.05298178e-31
             5697.42         1.31026e-15         2.74549e-17   |         5.26189853e+14      1.41870876e-29      2.97273115e-31
             5700.17          1.3393e-15         2.76464e-17   |         5.25935997e+14      1.45155261e-29      2.99635661e-31
             5702.92         1.32917e-15         2.76069e-17   |         5.25682386e+14      1.44196389e-29      2.99496324e-31
             5705.67         1.32299e-15         2.74524e-17   |         5.25429019e+14      1.43664398e-29      2.98107507e-31
             5708.42           1.362e-15          2.7864e-17   |         5.25175896e+14      1.48043124e-29      3.02868841e-31
             5711.17         1.39833e-15         2.81394e-17   |         5.24923018e+14      1.52138506e-29      3.06157078e-31
             5713.92         1.35857e-15         2.77535e-17   |         5.24670382e+14      1.47954993e-29      3.02249344e-31
             5716.67         1.41191e-15         2.82763e-17   |         5.24417990e+14      1.53912026e-29      3.08239380e-31
             5719.42         1.33248e-15           2.758e-17   |         5.24165840e+14      1.45393160e-29      3.00938351e-31
             5722.17          1.3784e-15         2.80122e-17   |         5.23913933e+14      1.50548375e-29      3.05948287e-31
             5724.92         1.37142e-15         2.79247e-17   |         5.23662268e+14      1.49930027e-29      3.05285837e-31
             5727.67         1.36342e-15         2.78382e-17   |         5.23410844e+14      1.49198663e-29      3.04632632e-31
             5730.42          1.4273e-15          2.8489e-17   |         5.23159662e+14      1.56339050e-29      3.12053752e-31
             5733.17         1.45028e-15         2.86416e-17   |         5.22908721e+14      1.59008666e-29      3.14026436e-31
             5735.92         1.39581e-15         2.82398e-17   |         5.22658020e+14      1.53183424e-29      3.09918202e-31
             5738.67         1.36208e-15         2.78833e-17   |         5.22407560e+14      1.49625087e-29      3.06299276e-31
             5741.42         1.31422e-15         2.73903e-17   |         5.22157339e+14      1.44506041e-29      3.01172088e-31
             5744.17         1.31766e-15         2.74268e-17   |         5.21907358e+14      1.45023114e-29      3.01862389e-31
             5746.92          1.3372e-15         2.76458e-17   |         5.21657617e+14      1.47314660e-29      3.04564135e-31
             5749.67          1.3305e-15         2.75712e-17   |         5.21408114e+14      1.46716856e-29      3.04033055e-31
             5752.42         1.37826e-15         2.80325e-17   |         5.21158850e+14      1.52128864e-29      3.09415668e-31
             5755.17         1.39103e-15         2.81758e-17   |         5.20909824e+14      1.53685221e-29      3.11294799e-31
             5757.92         1.40015e-15         2.82515e-17   |         5.20661036e+14      1.54840696e-29      3.12429519e-31
             5760.67         1.43744e-15         2.86382e-17   |         5.20412485e+14      1.59116426e-29      3.17008574e-31
             5763.42         1.42687e-15         2.85377e-17   |         5.20164172e+14      1.58097223e-29      3.16197770e-31
             5766.17         1.39431e-15         2.82166e-17   |         5.19916095e+14      1.54637038e-29      3.12938403e-31
             5768.92         1.36822e-15         2.80731e-17   |         5.19668255e+14      1.51888280e-29      3.11643951e-31
             5771.67         1.40951e-15         2.83395e-17   |         5.19420651e+14      1.56621162e-29      3.14901307e-31
             5774.42         1.39079e-15         2.82139e-17   |         5.19173283e+14      1.54688345e-29      3.13804492e-31
             5777.17         1.43682e-15         2.84992e-17   |         5.18926151e+14      1.59960206e-29      3.17279680e-31
             5779.92         1.39135e-15         2.81584e-17   |         5.18679253e+14      1.55045563e-29      3.13784093e-31
             5782.67          1.4232e-15         2.84135e-17   |         5.18432591e+14      1.58745729e-29      3.16928173e-31
             5785.42         1.35031e-15         2.77292e-17   |         5.18186163e+14      1.50758763e-29      3.09589641e-31
             5788.17         1.36323e-15         2.78692e-17   |         5.17939969e+14      1.52345976e-29      3.11448579e-31
             5790.92         1.30816e-15         2.73849e-17   |         5.17694009e+14      1.46330647e-29      3.06327217e-31
             5793.67         1.34173e-15          2.7688e-17   |         5.17448282e+14      1.50228363e-29      3.10011919e-31
             5796.42         1.38069e-15         2.80617e-17   |         5.17202789e+14      1.54737354e-29      3.14494435e-31
             5799.17         1.40068e-15         2.82072e-17   |         5.16957528e+14      1.57126669e-29      3.16425120e-31
             5801.92         1.43179e-15         2.84257e-17   |         5.16712500e+14      1.60768919e-29      3.19178726e-31
             5804.67         1.49213e-15         2.90422e-17   |         5.16467704e+14      1.67703076e-29      3.26410317e-31
             5807.42         1.49928e-15         2.90684e-17   |         5.16223140e+14      1.68666377e-29      3.27014414e-31
             5810.17         1.45207e-15         2.86053e-17   |         5.15978808e+14      1.63510079e-29      3.22109461e-31
             5812.92         1.45273e-15         2.86037e-17   |         5.15734706e+14      1.63739286e-29      3.22396414e-31
             5815.67         1.48267e-15         2.88836e-17   |         5.15490836e+14      1.67272022e-29      3.25859306e-31
             5818.42         1.51897e-15         2.91965e-17   |         5.15247196e+14      1.71529423e-29      3.29700969e-31
             5821.17         1.49521e-15         2.90065e-17   |         5.15003786e+14      1.69005973e-29      3.27865100e-31
             5823.92         1.45474e-15         2.86572e-17   |         5.14760606e+14      1.64586980e-29      3.24223024e-31
