#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
             3882.42         3.58739e-16         2.96913e-17   |         7.72179360e+14      1.80369425e-30      1.49284095e-31
             3885.17         3.70957e-16         2.98304e-17   |         7.71632796e+14      1.86776795e-30      1.50196020e-31
             3887.92         3.14499e-16         2.82389e-17   |         7.71087005e+14      1.58574447e-30      1.42384171e-31
             3890.67         3.35721e-16         2.86515e-17   |         7.70541986e+14      1.69514400e-30      1.44668991e-31
             3893.42         3.57389e-16         2.92459e-17   |         7.69997737e+14      1.80710334e-30      1.47879099e-31
             3896.17         3.72909e-16         2.99473e-17   |         7.69454256e+14      1.88824332e-30      1.51639647e-31
             3898.92         4.51828e-16         3.15877e-17   |         7.68911542e+14      2.29108438e-30      1.60171760e-31
             3901.67          4.6425e-16         3.16364e-17   |         7.68369593e+14      2.35739456e-30      1.60645077e-31
             3904.42          4.6048e-16         3.17793e-17   |         7.67828407e+14      2.34154833e-30      1.61598260e-31
             3907.17         4.89588e-16         3.25224e-17   |         7.67287983e+14      2.49307116e-30      1.65609977e-31
             3909.92         4.87234e-16         3.25984e-17   |         7.66748320e+14      2.48457794e-30      1.66230734e-31
             3912.67         4.06793e-16          3.0614e-17   |         7.66209415e+14      2.07729994e-30      1.56331255e-31
             3915.42         4.53572e-16         3.14386e-17   |         7.65671266e+14      2.31943519e-30      1.60767850e-31
             3918.17         4.81554e-16         3.16527e-17   |         7.65133874e+14      2.46598733e-30      1.62090144e-31
             3920.92         5.10447e-16         3.17946e-17   |         7.64597235e+14      2.61761586e-30      1.63045428e-31
             3923.67         5.32918e-16          3.2086e-17   |         7.64061348e+14      2.73668387e-30      1.64770638e-31
             3926.42          4.7064e-16         3.05125e-17   |         7.63526212e+14      2.42025785e-30      1.56909990e-31
             3929.17         4.70362e-16         3.02541e-17   |         7.62991825e+14      2.42221764e-30      1.55799182e-31
             3931.92         4.96809e-16         3.05853e-17   |         7.62458186e+14      2.56199393e-30      1.57725309e-31
             3934.67         4.46617e-16         2.94424e-17   |         7.61925292e+14      2.30638165e-30      1.52043946e-31
             3937.42         4.48471e-16         2.94858e-17   |         7.61393143e+14      2.31919436e-30      1.52480988e-31
             3940.17         4.22057e-16         2.90683e-17   |         7.60861737e+14      2.18564852e-30      1.50532006e-31
             3942.92         4.69366e-16         3.02381e-17   |         7.60331072e+14      2.43403519e-30      1.56808545e-31
             3945.67         4.76318e-16          3.0389e-17   |         7.59801147e+14      2.47353357e-30      1.57810983e-31
             3948.42         4.91895e-16         3.05721e-17   |         7.59271959e+14      2.55798733e-30      1.58983207e-31
             3951.17         5.73741e-16          3.2016e-17   |         7.58743509e+14      2.98776622e-30      1.66723876e-31
             3953.92         5.51013e-16          3.1166e-17   |         7.58215793e+14      2.87340535e-30      1.62523482e-31
             3956.67         5.95466e-16          3.1974e-17   |         7.57688812e+14      3.10953840e-30      1.66969031e-31
             3959.42         5.61613e-16         3.11652e-17   |         7.57162562e+14      2.93683531e-30      1.62971761e-31
             3962.17         5.75765e-16         3.11619e-17   |         7.56637042e+14      3.01502396e-30      1.63180942e-31
             3964.92         5.79125e-16          3.1035e-17   |         7.56112252e+14      3.03682990e-30      1.62742095e-31
             3967.67         6.23475e-16         3.17979e-17   |         7.55588189e+14      3.27393028e-30      1.66973989e-31
             3970.42         5.86261e-16         3.09795e-17   |         7.55064852e+14      3.08278473e-30      1.62902069e-31
             3973.17          6.2123e-16         3.17588e-17   |         7.54542240e+14      3.27119182e-30      1.67231342e-31
             3975.92         6.11023e-16          3.1533e-17   |         7.54020350e+14      3.22190053e-30      1.66272283e-31
             3978.67         5.19594e-16         2.99051e-17   |         7.53499182e+14      2.74359032e-30      1.57906640e-31
             3981.42         5.21528e-16         2.98597e-17   |         7.52978734e+14      2.75761043e-30      1.57884946e-31
             3984.17         4.23393e-16         2.77525e-17   |         7.52459004e+14      2.24180943e-30      1.46945784e-31
             3986.92         3.38512e-16         2.57209e-17   |         7.51939991e+14      1.79485102e-30      1.36376801e-31
             3989.67         3.06782e-16         2.48631e-17   |         7.51421694e+14      1.62885761e-30      1.32010514e-31
             3992.42         3.04439e-16         2.47619e-17   |         7.50904111e+14      1.61864656e-30      1.31654499e-31
             3995.17         3.98443e-16         2.69388e-17   |         7.50387240e+14      2.12136806e-30      1.43426060e-31
             3997.92         4.91192e-16         2.87211e-17   |         7.49871080e+14      2.61877858e-30      1.53125868e-31
             4000.67         4.79468e-16         2.85277e-17   |         7.49355630e+14      2.55979026e-30      1.52304072e-31
             4003.42         5.59528e-16         3.01284e-17   |         7.48840889e+14      2.99132382e-30      1.61071118e-31
             4006.17         5.82426e-16         3.05759e-17   |         7.48326853e+14      3.11801930e-30      1.63688170e-31
             4008.92         6.41795e-16         3.19556e-17   |         7.47813523e+14      3.44057005e-30      1.71309344e-31
             4011.67         6.18508e-16         3.13833e-17   |         7.47300897e+14      3.32028236e-30      1.68472223e-31
             4014.42         6.07314e-16         3.12162e-17   |         7.46788973e+14      3.26466185e-30      1.67805019e-31
             4017.17         5.21665e-16         2.94035e-17   |         7.46277750e+14      2.80809255e-30      1.58277341e-31
             4019.92         4.76151e-16         2.84531e-17   |         7.45767227e+14      2.56660371e-30      1.53371161e-31
             4022.67         3.74233e-16         2.62851e-17   |         7.45257401e+14      2.01999451e-30      1.41878877e-31
             4025.42         3.47142e-16         2.57457e-17   |         7.44748272e+14      1.87632842e-30      1.39157430e-31
             4028.17         3.49818e-16         2.56023e-17   |         7.44239838e+14      1.89337671e-30      1.38571481e-31
             4030.92         4.00545e-16         2.64906e-17   |         7.43732098e+14      2.17089575e-30      1.43575206e-31
             4033.67         5.78646e-16         3.00388e-17   |         7.43225051e+14      3.14045794e-30      1.63028152e-31
