#  lambda      flux
#   [A]        [erg cm^-2 s^-1 A^-1]
 4723.1761     8.374667e-01
 4727.1226     8.623545e-01
 4731.0690     8.543308e-01
 4735.0154     8.412792e-01
 4738.9618     8.428628e-01
 4742.9083     8.470176e-01
 4746.8547     8.701960e-01
 4750.8011     8.687733e-01
 4754.7475     8.845843e-01
 4758.6940     8.988959e-01
 4762.6404     8.786035e-01
 4766.5868     8.436489e-01
 4770.5332     8.192201e-01
 4774.4797     8.245094e-01
 4778.4261     8.480668e-01
 4782.3725     8.585742e-01
 4786.3189     8.525363e-01
 4790.2654     8.675591e-01
 4794.2118     8.433645e-01
 4798.1582     8.730362e-01
 4802.1046     9.168283e-01
 4806.0511     8.977659e-01
 4809.9975     8.854382e-01
 4813.9439     8.959703e-01
 4817.8903     8.822550e-01
 4821.8367     9.103051e-01
 4825.7832     8.971530e-01
 4829.7296     9.128083e-01
 4833.6760     8.886295e-01
 4837.6224     8.858040e-01
 4841.5689     8.893245e-01
 4845.5153     8.766240e-01
 4849.4617     8.666487e-01
 4853.4081     8.745020e-01
 4857.3546     8.630571e-01
 4861.3010     8.343197e-01
 4865.2474     8.043535e-01
 4869.1938     7.899589e-01
 4873.1403     8.053846e-01
 4877.0867     8.137375e-01
 4881.0331     8.218270e-01
 4884.9795     8.485616e-01
 4888.9260     8.534397e-01
 4892.8724     8.438228e-01
 4896.8188     8.666252e-01
 4900.7652     8.666626e-01
 4904.7117     9.019669e-01
 4908.6581     9.195113e-01
 4912.6045     9.307144e-01
 4916.5509     8.881238e-01
 4920.4974     8.854903e-01
 4924.4438     8.250384e-01
 4928.3902     8.549963e-01
 4932.3366     8.627745e-01
 4936.2831     8.757796e-01
 4940.2295     9.042072e-01
 4944.1759     8.953218e-01
 4948.1223     9.476736e-01
 4952.0688     9.321554e-01
 4956.0152     9.567779e-01
 4959.9616     9.529778e-01
 4963.9080     9.200272e-01
 4967.8545     9.069475e-01
 4971.8009     9.063695e-01
 4975.7473     8.988285e-01
 4979.6937     8.774163e-01
 4983.6402     8.796030e-01
 4987.5866     8.463660e-01
 4991.5330     8.393165e-01
 4995.4794     8.397111e-01
 4999.4259     8.874887e-01
 5003.3723     8.661342e-01
 5007.3187     8.539528e-01
 5011.2651     8.289477e-01
 5015.2116     8.405933e-01
 5019.1580     8.450115e-01
 5023.1044     8.289071e-01
 5027.0508     8.033007e-01
 5030.9973     8.252639e-01
 5034.9437     8.453862e-01
 5038.8901     8.691950e-01
 5042.8365     8.483956e-01
 5046.7830     8.628958e-01
 5050.7294     8.815085e-01
 5054.6758     8.943221e-01
 5058.6222     8.703836e-01
 5062.5686     8.710362e-01
 5066.5151     9.052370e-01
 5070.4615     9.032515e-01
 5074.4079     9.069777e-01
 5078.3543     8.764425e-01
 5082.3008     8.633566e-01
 5086.2472     8.373500e-01
 5090.1936     8.273826e-01
 5094.1400     8.800405e-01
 5098.0865     8.824105e-01
 5102.0329     8.962690e-01
 5105.9793     8.858029e-01
 5109.9257     8.534966e-01
 5113.8722     8.506643e-01
 5117.8186     8.689812e-01
 5121.7650     8.775422e-01
 5125.7114     8.718300e-01
 5129.6579     8.630713e-01
 5133.6043     8.291983e-01
 5137.5507     8.557159e-01
 5141.4971     8.332182e-01
 5145.4436     8.337006e-01
 5149.3900     8.173275e-01
 5153.3364     8.216484e-01
 5157.2828     8.599647e-01
 5161.2293     8.484335e-01
 5165.1757     8.441657e-01
 5169.1221     8.102880e-01
 5173.0685     7.605984e-01
 5177.0150     7.301387e-01
 5180.9614     6.991035e-01
 5184.9078     6.901529e-01
 5188.8542     7.039107e-01
 5192.8007     7.541108e-01
 5196.7471     7.739840e-01
 5200.6935     8.280070e-01
 5204.6399     8.532586e-01
 5208.5864     8.421567e-01
 5212.5328     8.486112e-01
 5216.4792     8.605967e-01
 5220.4256     8.288392e-01
 5224.3721     8.917547e-01
 5228.3185     9.035224e-01
 5232.2649     9.064164e-01
 5236.2113     9.118189e-01
 5240.1578     9.236301e-01
 5244.1042     9.423145e-01
 5248.0506     9.388505e-01
 5251.9970     9.297999e-01
 5255.9435     9.431980e-01
 5259.8899     9.476675e-01
 5263.8363     9.356765e-01
 5267.7827     9.237114e-01
 5271.7292     8.915046e-01
 5275.6756     8.711706e-01
 5279.6220     8.793725e-01
 5283.5684     9.047601e-01
 5287.5149     9.502368e-01
 5291.4613     9.798025e-01
 5295.4077     9.897405e-01
 5299.3541     9.985175e-01
 5303.3006     9.940395e-01
 5307.2470     9.790833e-01
 5311.1934     1.020062e+00
 5315.1398     1.044302e+00
 5319.0862     1.061942e+00
 5323.0327     1.049191e+00
 5326.9791     1.004358e+00
 5330.9255     9.646640e-01
 5334.8719     9.550213e-01
 5338.8184     9.539055e-01
 5342.7648     9.608097e-01
 5346.7112     9.812174e-01
 5350.6576     9.820191e-01
 5354.6041     1.012953e+00
 5358.5505     1.010284e+00
 5362.4969     1.029490e+00
 5366.4433     1.077483e+00
 5370.3898     1.020355e+00
 5374.3362     1.019095e+00
 5378.2826     1.000233e+00
 5382.2290     1.008964e+00
 5386.1755     1.033195e+00
 5390.1219     1.036783e+00
 5394.0683     1.029711e+00
 5398.0147     9.972981e-01
 5401.9612     9.903169e-01
 5405.9076     1.003970e+00
 5409.8540     9.819672e-01
 5413.8004     9.724842e-01
 5417.7469     9.631876e-01
 5421.6933     9.571490e-01
 5425.6397     1.062440e+00
 5429.5861     1.008082e+00
 5433.5326     9.881074e-01
 5437.4790     1.008265e+00
 5441.4254     1.024584e+00
 5445.3718     1.012801e+00
 5449.3183     1.007802e+00
 5453.2647     1.007908e+00
 5457.2111     1.015151e+00
 5461.1575     9.742602e-01
 5465.1040     9.955778e-01
 5469.0504     9.902609e-01
 5472.9968     9.834485e-01
 5476.9432     9.867137e-01
 5480.8897     9.941869e-01
 5484.8361     1.020837e+00
 5488.7825     1.005134e+00
 5492.7289     9.891760e-01
 5496.6754     1.001005e+00
 5500.6218     1.009983e+00
 5504.5682     1.037679e+00
 5508.5146     1.003776e+00
 5512.4611     1.001600e+00
 5516.4075     9.788682e-01
 5520.3539     9.964356e-01
 5524.3003     9.944758e-01
 5528.2468     1.012354e+00
 5532.1932     9.917651e-01
 5536.1396     9.868417e-01
 5540.0860     1.002328e+00
 5544.0325     1.004623e+00
 5547.9789     1.000775e+00
 5551.9253     1.009643e+00
 5555.8717     1.018092e+00
 5559.8182     1.014300e+00
 5563.7646     1.046234e+00
 5567.7110     1.020358e+00
 5571.6574     1.015972e+00
 5575.6038     1.010109e+00
 5579.5503     1.022388e+00
 5583.4967     1.020307e+00
 5587.4431     1.003760e+00
 5591.3895     9.975027e-01
 5595.3360     9.791363e-01
 5599.2824     9.746929e-01
 5603.2288     9.954209e-01
 5607.1752     9.994035e-01
 5611.1217     9.899521e-01
 5615.0681     1.023697e+00
 5619.0145     1.036287e+00
 5622.9609     9.962831e-01
 5626.9074     9.963349e-01
 5630.8538     1.008120e+00
 5634.8002     1.014570e+00
 5638.7466     1.013894e+00
 5642.6931     1.020083e+00
 5646.6395     1.017398e+00
 5650.5859     1.016466e+00
 5654.5323     1.048831e+00
 5658.4788     1.041092e+00
 5662.4252     1.006875e+00
 5666.3716     9.871534e-01
 5670.3180     9.813623e-01
 5674.2645     1.003678e+00
 5678.2109     1.039734e+00
 5682.1573     1.021479e+00
 5686.1037     1.022474e+00
 5690.0502     1.025715e+00
 5693.9966     1.033364e+00
 5697.9430     1.008228e+00
 5701.8894     1.007807e+00
 5705.8359     1.049427e+00
 5709.7823     9.864424e-01
 5713.7287     9.830178e-01
 5717.6751     1.007433e+00
 5721.6216     1.006184e+00
 5725.5680     1.004657e+00
 5729.5144     1.037040e+00
 5733.4608     1.052970e+00
 5737.4073     1.038493e+00
 5741.3537     1.018841e+00
 5745.3001     1.049089e+00
 5749.2465     1.057476e+00
 5753.1930     1.066678e+00
 5757.1394     1.073031e+00
 5761.0858     1.031663e+00
 5765.0322     1.064894e+00
 5768.9787     1.069519e+00
 5772.9251     1.040494e+00
 5776.8715     1.084104e+00
 5780.8179     1.073328e+00
 5784.7644     1.057040e+00
 5788.7108     1.050706e+00
 5792.6572     9.829926e-01
 5796.6036     1.035514e+00
 5800.5501     1.034226e+00
 5804.4965     1.043498e+00
 5808.4429     1.061550e+00
 5812.3893     1.057894e+00
 5816.3357     1.049287e+00
 5820.2822     1.047734e+00
 5824.2286     1.036268e+00
 5828.1750     1.031744e+00
 5832.1214     1.058745e+00
 5836.0679     1.052050e+00
 5840.0143     1.021446e+00
 5843.9607     1.066526e+00
 5847.9071     1.013196e+00
 5851.8536     1.038323e+00
 5855.8000     1.043152e+00
 5859.7464     1.009463e+00
 5863.6928     9.815980e-01
 5867.6393     1.005869e+00
 5871.5857     1.014172e+00
 5875.5321     1.036186e+00
 5879.4785     1.063986e+00
 5883.4250     1.031678e+00
 5887.3714     1.018297e+00
 5891.3178     9.470189e-01
 5895.2642     8.883653e-01
 5899.2107     8.662762e-01
 5903.1571     8.718119e-01
 5907.1035     8.666077e-01
 5911.0499     9.327579e-01
 5914.9964     1.008019e+00
 5918.9428     1.005679e+00
 5922.8892     1.013548e+00
 5926.8356     1.004774e+00
 5930.7821     1.030634e+00
 5934.7285     1.051604e+00
 5938.6749     1.012584e+00
 5942.6213     1.042130e+00
 5946.5678     1.068879e+00
 5950.5142     1.002376e+00
 5954.4606     1.040078e+00
 5958.4070     1.002787e+00
 5962.3535     9.990787e-01
 5966.2999     1.010137e+00
 5970.2463     1.016872e+00
 5974.1927     1.014330e+00
 5978.1392     1.020046e+00
 5982.0856     1.037127e+00
 5986.0320     1.008798e+00
 5989.9784     1.006929e+00
 5993.9249     1.009166e+00
 5997.8713     9.857031e-01
 6001.8177     9.940283e-01
 6005.7641     9.957373e-01
 6009.7106     1.017429e+00
 6013.6570     9.947479e-01
 6017.6034     1.026784e+00
 6021.5498     9.877101e-01
 6025.4963     9.453519e-01
 6029.4427     9.975427e-01
 6033.3891     9.994174e-01
 6037.3355     1.032232e+00
 6041.2820     1.007202e+00
 6045.2284     1.024178e+00
 6049.1748     1.050488e+00
 6053.1212     1.030131e+00
 6057.0677     1.045609e+00
 6061.0141     1.032633e+00
 6064.9605     1.032535e+00
 6068.9069     1.058928e+00
 6072.8533     1.039301e+00
 6076.7998     1.048624e+00
 6080.7462     1.044444e+00
 6084.6926     1.035279e+00
 6088.6390     1.030231e+00
 6092.5855     1.035364e+00
 6096.5319     1.027496e+00
 6100.4783     1.017352e+00
 6104.4247     1.012724e+00
 6108.3712     1.021201e+00
 6112.3176     1.013548e+00
 6116.2640     1.038888e+00
 6120.2104     1.007649e+00
 6124.1569     1.016366e+00
 6128.1033     1.031324e+00
 6132.0497     1.017856e+00
 6135.9961     1.026983e+00
 6139.9426     9.873223e-01
 6143.8890     1.013508e+00
 6147.8354     9.888036e-01
 6151.7818     1.007036e+00
 6155.7283     1.016619e+00
 6159.6747     1.015174e+00
 6163.6211     9.781275e-01
 6167.5675     9.755285e-01
 6171.5140     9.426239e-01
 6175.4604     9.564539e-01
 6179.4068     9.223435e-01
 6183.3532     9.541956e-01
 6187.2997     9.740220e-01
 6191.2461     9.637284e-01
 6195.1925     9.689329e-01
 6199.1389     9.576727e-01
 6203.0854     9.729495e-01
 6207.0318     9.663567e-01
 6210.9782     9.683049e-01
 6214.9246     9.829985e-01
 6218.8711     9.882858e-01
 6222.8175     9.439611e-01
 6226.7639     9.272370e-01
 6230.7103     9.293583e-01
 6234.6568     9.252796e-01
 6238.6032     9.207858e-01
 6242.5496     9.266884e-01
 6246.4960     8.950809e-01
 6250.4425     8.856440e-01
 6254.3889     9.081708e-01
 6258.3353     9.165969e-01
 6262.2817     8.935138e-01
 6266.2282     9.257516e-01
 6270.1746     9.089766e-01
 6274.1210     9.272141e-01
 6278.0674     9.352388e-01
 6282.0139     9.613738e-01
 6285.9603     9.811670e-01
 6289.9067     9.825432e-01
 6293.8531     9.750516e-01
 6297.7996     9.901680e-01
 6301.7460     9.906915e-01
 6305.6924     9.662828e-01
 6309.6388     9.971893e-01
 6313.5853     9.850882e-01
 6317.5317     9.812547e-01
 6321.4781     1.005188e+00
 6325.4245     9.960712e-01
 6329.3709     9.899227e-01
 6333.3174     9.976550e-01
 6337.2638     9.953072e-01
 6341.2102     1.001956e+00
 6345.1566     1.002423e+00
 6349.1031     1.002919e+00
 6353.0495     1.006019e+00
 6356.9959     9.877541e-01
 6360.9423     9.906853e-01
 6364.8888     9.993485e-01
 6368.8352     9.986388e-01
 6372.7816     1.003484e+00
 6376.7280     1.021137e+00
 6380.6745     1.031996e+00
 6384.6209     1.028037e+00
 6388.5673     1.048317e+00
 6392.5137     1.011336e+00
 6396.4602     1.022617e+00
 6400.4066     1.006020e+00
 6404.3530     1.003021e+00
 6408.2994     1.013044e+00
 6412.2459     1.020470e+00
 6416.1923     1.029669e+00
 6420.1387     1.050651e+00
 6424.0851     1.004155e+00
 6428.0316     1.006982e+00
 6431.9780     1.015757e+00
 6435.9244     1.008206e+00
 6439.8708     1.024750e+00
 6443.8173     1.022332e+00
 6447.7637     1.048904e+00
 6451.7101     1.032001e+00
 6455.6565     1.027236e+00
 6459.6030     1.032470e+00
 6463.5494     1.048874e+00
 6467.4958     1.033810e+00
 6471.4422     1.024600e+00
 6475.3887     1.037065e+00
 6479.3351     1.029251e+00
 6483.2815     1.051054e+00
 6487.2279     1.041948e+00
 6491.1744     1.028794e+00
 6495.1208     1.009267e+00
 6499.0672     9.779054e-01
 6503.0136     9.922086e-01
 6506.9601     9.668564e-01
 6510.9065     1.006604e+00
 6514.8529     1.009232e+00
 6518.7993     1.021070e+00
 6522.7458     1.017117e+00
 6526.6922     1.020286e+00
 6530.6386     1.040859e+00
 6534.5850     1.030475e+00
 6538.5315     1.046672e+00
 6542.4779     1.043585e+00
 6546.4243     1.047116e+00
 6550.3707     1.060490e+00
 6554.3172     1.026104e+00
 6558.2636     1.013784e+00
 6562.2100     9.951471e-01
 6566.1564     9.721259e-01
 6570.1029     9.477581e-01
 6574.0493     9.482841e-01
 6577.9957     9.707760e-01
 6581.9421     9.870396e-01
 6585.8885     9.879116e-01
 6589.8350     1.028785e+00
 6593.7814     1.043432e+00
 6597.7278     1.024902e+00
 6601.6742     1.008286e+00
 6605.6207     1.034167e+00
 6609.5671     9.950399e-01
 6613.5135     1.007111e+00
 6617.4599     1.016738e+00
 6621.4064     9.983590e-01
 6625.3528     1.026295e+00
 6629.2992     1.005846e+00
 6633.2456     1.029710e+00
 6637.1921     1.003830e+00
 6641.1385     1.016358e+00
 6645.0849     1.008296e+00
 6649.0313     9.902143e-01
 6652.9778     1.010952e+00
 6656.9242     1.017800e+00
 6660.8706     1.001733e+00
 6664.8170     1.002599e+00
 6668.7635     1.005764e+00
 6672.7099     1.012628e+00
 6676.6563     1.008366e+00
 6680.6027     1.015197e+00
 6684.5492     1.039282e+00
 6688.4956     1.016573e+00
 6692.4420     9.976551e-01
 6696.3884     1.007754e+00
 6700.3349     1.014276e+00
 6704.2813     1.014685e+00
 6708.2277     1.001095e+00
 6712.1741     9.923894e-01
 6716.1206     1.000888e+00
 6720.0670     1.002956e+00
 6724.0134     9.984306e-01
 6727.9598     9.980948e-01
 6731.9063     1.002397e+00
 6735.8527     1.017452e+00
 6739.7991     1.014416e+00
 6743.7455     1.013496e+00
 6747.6920     1.005320e+00
 6751.6384     1.019558e+00
 6755.5848     1.033035e+00
 6759.5312     1.021733e+00
 6763.4777     1.040490e+00
 6767.4241     1.031586e+00
 6771.3705     1.029458e+00
 6775.3169     1.045560e+00
 6779.2634     1.063311e+00
 6783.2098     1.076930e+00
 6787.1562     1.055057e+00
 6791.1026     1.073422e+00
 6795.0491     1.077437e+00
 6798.9955     1.041817e+00
 6802.9419     1.067585e+00
 6806.8883     1.074361e+00
 6810.8348     1.056793e+00
 6814.7812     1.094845e+00
 6818.7276     1.088507e+00
 6822.6740     1.022969e+00
 6826.6204     9.169483e-01
 6830.5669     8.851409e-01
 6834.5133     8.676375e-01
 6838.4597     9.023587e-01
 6842.4061     9.306698e-01
 6846.3526     9.508572e-01
 6850.2990     9.603391e-01
 6854.2454     9.360633e-01
 6858.1918     9.554871e-01
 6862.1383     1.005130e+00
 6866.0847     1.011177e+00
 6870.0311     1.027956e+00
 6873.9775     1.051207e+00
 6877.9240     1.088529e+00
 6881.8704     1.079180e+00
 6885.8168     1.099756e+00
 6889.7632     1.103118e+00
 6893.7097     1.105097e+00
 6897.6561     1.101052e+00
 6901.6025     1.150412e+00
 6905.5489     1.120170e+00
 6909.4954     1.125665e+00
 6913.4418     1.122798e+00
 6917.3882     1.111684e+00
 6921.3346     1.140924e+00
 6925.2811     1.165534e+00
 6929.2275     1.157130e+00
 6933.1739     1.166947e+00
 6937.1203     1.173355e+00
 6941.0668     1.151658e+00
 6945.0132     1.153345e+00
 6948.9596     1.168289e+00
 6952.9060     1.156006e+00
 6956.8525     1.161495e+00
 6960.7989     1.173755e+00
 6964.7453     1.138657e+00
 6968.6917     1.122048e+00
 6972.6382     1.165049e+00
 6976.5846     1.162999e+00
