#Regenerated by B.F. Madore from published spectrum with using UN-SCAN-IT Software.
#Heliocentric Velocity     Flux Density 
#[km/s]                     [Jy]
 3269.921                  -0.002120
 3272.032                  -0.003180
 3274.143                  -0.004240
 3276.253                  -0.004240
 3278.364                  -0.004240
 3280.475                  -0.005300
 3282.586                  -0.005300
 3284.697                  -0.005300
 3286.807                  -0.006360
 3288.918                  -0.006360
 3291.029                  -0.006360
 3293.140                  -0.007421
 3295.251                  -0.007421
 3297.362                  -0.007421
 3299.472                  -0.007421
 3301.583                  -0.008481
 3303.694                  -0.008481
 3305.805                  -0.008481
 3307.916                  -0.009541
 3310.026                  -0.009541
 3312.137                  -0.009541
 3314.248                  -0.009541
 3316.359                  -0.009541
 3318.470                  -0.009541
 3320.581                  -0.009541
 3322.691                  -0.009541
 3324.802                  -0.009541
 3326.913                  -0.009541
 3329.024                  -0.008481
 3331.135                  -0.008481
 3333.245                  -0.007421
 3335.356                  -0.006360
 3337.467                  -0.006360
 3339.578                  -0.005300
 3341.689                  -0.004240
 3343.800                  -0.004240
 3345.910                  -0.003180
 3348.021                  -0.002120
 3350.132                  -0.003180
 3352.243                  -0.003180
 3354.354                  -0.004240
 3356.464                  -0.005300
 3358.575                  -0.006360
 3360.686                  -0.006360
 3362.797                  -0.007421
 3364.908                  -0.007421
 3367.019                  -0.007421
 3369.129                  -0.007421
 3371.240                  -0.007421
 3373.351                  -0.007421
 3375.462                  -0.007421
 3377.573                  -0.007421
 3379.683                  -0.007421
 3381.794                  -0.007421
 3383.905                  -0.007421
 3386.016                  -0.007421
 3388.127                  -0.007421
 3390.238                  -0.007421
 3392.348                  -0.006360
 3394.459                  -0.006360
 3396.570                  -0.006360
 3398.681                  -0.005300
 3400.792                  -0.005300
 3402.902                  -0.004240
 3405.013                  -0.004240
 3407.124                  -0.004240
 3409.235                  -0.004240
 3411.346                  -0.004240
 3413.457                  -0.004240
 3415.567                  -0.004240
 3417.678                  -0.005300
 3419.789                  -0.004240
 3421.900                  -0.004240
 3424.010                  -0.004240
 3426.121                  -0.004240
 3428.232                  -0.004240
 3430.343                  -0.004240
 3432.454                  -0.004240
 3434.565                  -0.004240
 3436.676                  -0.004240
 3438.786                  -0.004240
 3440.897                  -0.004240
 3443.008                  -0.004240
 3445.119                  -0.004240
 3447.229                  -0.004240
 3449.340                  -0.004240
 3451.451                  -0.005300
 3453.562                  -0.005300
 3455.673                  -0.005300
 3457.784                  -0.005300
 3459.895                  -0.005300
 3462.005                  -0.005300
 3464.116                  -0.006360
 3466.227                  -0.006360
 3468.338                  -0.007421
 3470.448                  -0.007421
 3472.559                  -0.007421
 3474.670                  -0.006360
 3476.781                  -0.005300
 3478.892                  -0.004240
 3481.003                  -0.002120
 3483.114                  -0.001060
 3485.224                   0.000000
 3487.335                   0.001060
 3489.446                   0.002120
 3491.557                   0.003180
