#Wavelength     Flux   Variance  Subtracted Sky
#[Angstrom]   [Counts]     [Counts]    [Counts]
5557.20    593.054100    619.972800    88.893100
5561.51    576.019600    620.174700    94.239200
5565.82    553.668500    599.854900    90.605810
5570.13    841.222700    1316.517000    319.977000
5574.44    768.874900    3359.998000    1371.177000
5578.75    675.166600    3362.359000    1542.668000
5583.07    713.917600    1336.436000    484.062000
5587.38    580.827200    613.760000    94.857800
5591.69    586.083400    611.676100    88.656360
5596.00    575.066500    607.504000    91.257960
5600.31    629.796400    653.448500    94.323430
5604.62    637.687000    670.508100    105.078100
5608.93    616.396200    632.721800    95.568120
5613.24    624.581200    634.439000    87.115940
5617.55    620.819200    640.726500    92.941740
5621.86    584.228500    624.467100    98.253170
5626.17    595.577800    624.903600    93.327560
5630.48    597.387500    619.494700    93.356120
5634.79    571.971300    601.398500    86.682960
5639.10    607.991700    628.936200    93.271390
5643.41    646.348800    651.889300    95.250660
5647.72    615.809400    626.685000    90.847050
5652.03    614.590800    627.239100    91.206040
5656.34    638.822900    636.405000    88.372320
5660.66    647.308400    638.258500    88.703240
5664.97    628.321000    640.335000    94.158370
5669.28    629.349900    649.163000    94.181350
5673.59    643.316800    650.567700    94.444850
5677.90    604.955500    630.041000    95.765880
5682.21    601.153300    632.297200    95.789710
5686.52    637.242100    653.166400    94.575650
5690.83    643.257400    662.385600    101.496200
5695.14    620.724500    649.405600    101.374700
5699.45    627.080300    646.343700    100.895100
5703.76    611.203700    638.982400    97.513670
5708.07    581.136600    620.634400    95.610860
5712.38    626.356300    649.332900    98.841220
5716.69    622.586700    651.210300    98.986320
5721.00    616.940900    644.312100    100.533000
5725.31    623.267700    644.045100    99.268250
5729.62    622.719100    642.133200    94.995810
5733.93    628.051400    647.891500    97.640450
5738.25    599.639600    626.971700    93.597200
5742.56    603.162800    629.864300    92.500630
5746.87    649.013200    657.080900    95.531690
5751.18    681.506200    664.063200    93.267740
5755.49    651.521900    654.002600    96.713960
5759.80    621.751500    638.665500    96.767270
5764.11    617.883200    638.141700    94.400030
5768.42    638.101400    655.750400    102.525200
5772.73    642.449200    652.443500    95.944840
5777.04    631.891600    645.330000    98.919140
5781.35    651.050400    652.845700    98.694500
5785.66    623.755100    636.196000    95.352070
5789.97    638.914900    651.218800    96.281430
5794.28    652.229700    659.184900    94.900170
5798.59    588.045800    622.634300    94.882650
5802.90    604.237200    633.311400    96.779420
5807.21    648.368900    660.213800    94.783970
5811.52    632.303700    654.914200    100.578400
5815.83    652.275500    658.817100    96.137310
5820.15    622.124400    643.976700    99.220430
5824.46    624.734500    643.953200    101.410600
5828.77    632.326600    653.677800    102.553700
5833.08    595.903300    637.209500    103.760600
5837.39    648.127700    665.677700    99.572850
5841.70    689.119400    687.691800    101.156000
5846.01    660.478700    668.160300    101.539400
5850.32    646.462300    655.959200    98.517750
5854.63    647.638100    654.430700    99.324640
5858.94    683.931200    703.216500    107.749400
5863.25    679.883400    756.812700    137.281300
5867.56    654.585800    772.862400    153.292900
5871.87    645.303400    725.664000    138.543900
5876.18    620.727800    670.380100    114.203800
5880.49    678.228800    742.774700    126.198200
5884.80    714.957500    1210.592000    332.115100
5889.11    716.690600    1804.716000    623.998700
5893.42    733.265200    1690.573000    603.656700
5897.74    609.105100    1126.704000    363.316700
5902.05    662.477100    786.188500    166.752600
5906.36    686.935200    742.509900    135.677800
5910.67    708.936800    768.853100    136.965500
5914.98    667.937900    762.827100    149.041700
5919.29    637.703900    722.170700    135.278700
5923.60    619.029000    706.091700    129.822200
5927.91    648.733500    742.877900    139.355500
5932.22    669.065200    776.502300    152.358800
5936.53    665.649000    727.708800    134.032000
5940.84    662.004200    703.388500    119.282900
5945.15    665.385600    725.211100    128.538800
5949.46    672.848000    756.389500    141.087200
5953.77    686.629600    773.705400    144.164000
5958.08    670.683100    717.134800    127.487700
5962.39    699.518900    710.680200    112.444200
5966.70    724.772000    743.116800    121.184900
5971.01    704.859800    749.318800    133.854100
5975.33    697.980400    760.700300    144.188300
5979.64    701.301000    746.790600    126.545600
5983.95    731.937200    731.455700    113.777200
5988.26    700.719100    704.456400    109.150600
5992.57    703.510900    709.844400    113.444900
5996.88    669.257600    703.881200    118.903000
6001.19    666.145900    710.091700    124.322700
6005.50    709.567600    722.258200    113.991000
6009.81    700.456200    696.840800    110.763300
6014.12    662.088600    660.903100    103.646000
6018.43    629.727900    640.998500    98.372960
6022.74    662.880400    658.198800    99.416400
6027.05    681.732100    679.387000    102.916500
6031.36    675.489800    685.250200    108.346500
