#Regenerated by NED personnel from published spectrum with using UN-SCAN-IT Software.
#Heliocentric Velocity     Flux Density 
#[km/s]                     [mJy]
 8902.300                  -0.699000
 8911.040                  -1.409100
 8919.690                  -1.645100
 8928.310                  -1.644000
 8936.930                  -1.643000
 8945.520                  -1.405000
 8954.140                  -1.403900
 8962.720                  -1.165900
 8971.340                  -1.164900
 8979.960                  -1.163900
 8988.620                  -1.399900
 8997.240                  -1.398800
 9005.900                  -1.634900
 9014.520                  -1.633800
 9023.140                  -1.632800
 9031.720                  -1.394700
 9040.310                  -1.156700
 9048.930                  -1.155700
 9057.510                  -0.917600
 9066.170                  -1.153600
 9074.830                  -1.389700
 9083.450                  -1.388600
 9092.030                  -1.150600
 9100.650                  -1.149500
 9109.270                  -1.148500
 9117.930                  -1.384500
 9126.620                  -1.857600
 9135.320                  -2.330600
 9143.940                  -2.329600
 9152.520                  -2.091500
 9161.100                  -1.853500
 9169.800                  -2.326600
 9178.420                  -2.325500
 9187.080                  -2.561500
 9195.810                  -3.271600
 9204.470                  -3.507600
 9213.160                  -3.980700
 9221.780                  -3.979600
 9230.400                  -3.978600
 9238.990                  -3.740600
 9247.610                  -3.739500
 9256.230                  -3.738500
 9264.810                  -3.500400
 9273.390                  -3.262400
 9281.980                  -3.024400
 9290.600                  -3.023300
