#Regenerated by NED personnel from published spectrum with using UN-SCAN-IT Software.
#Heliocentric Velocity     Flux Density 
#[km/s]                     [mJy]
 2616.850                  -3.016100
 2620.190                  -3.016600
 2623.640                  -2.338600
 2627.030                  -1.999800
 2630.390                  -1.887400
 2633.900                  -0.870000
 2637.460                   0.486900
 2641.000                   1.730500
 2644.750                   4.218500
 2648.140                   4.557200
 2651.440                   4.330400
 2654.680                   3.764100
 2658.020                   3.763400
 2660.000                  -4.494800
 2663.320                  -4.608600
 2667.010                  -2.459900
 2670.840                   0.480500
 2674.230                   0.819300
 2677.550                   0.705500
 2680.640                  -0.765600
 2683.650                  -2.802400
 2686.820                  -3.821100
 2690.230                  -3.369200
 2693.770                  -2.125600
 2697.450                  -0.090000
 2700.630                  -0.995700
 2704.620                   2.962900
 2708.720                   7.600100
 2712.150                   8.165000
 2715.550                   8.503800
 2718.720                   7.485000
 2721.530                   4.317100
 2724.260                   0.583600
 2727.450                  -0.321900
 2730.790                  -0.322600
 2734.290                   0.694900
 2737.700                   1.146700
 2740.990                   0.806600
 2744.030                  -1.003800
 2746.850                  -4.171800
 2749.980                  -5.416700
 2753.000                  -7.340400
 2756.360                  -7.227800
 2760.010                  -5.305500
 2763.680                  -3.270000
 2767.390                  -1.008200
 2770.950                   0.348500
 2774.480                   1.479100
 2778.000                   2.609600
 2781.560                   3.966500
 2784.920                   4.078900
 2788.440                   5.209500
 2791.820                   5.435100
 2795.340                   6.565600
 2798.790                   7.243800
 2802.150                   7.356200
 2805.390                   6.790000
 2808.520                   5.545000
 2811.430                   2.942800
 2814.640                   2.150300
 2817.720                   0.565900
 2821.060                   0.565400
 2824.300                  -0.000900
 2827.510                  -0.793300
 2830.770                  -1.246500
 2834.110                  -1.247000
 2837.430                  -1.360800
 2840.360                  -3.850000
 2843.440                  -5.434300
 2846.740                  -5.661200
 2850.110                  -5.435600
 2853.750                  -3.626300
 2857.270                  -2.495700
 2860.760                  -1.591500
 2863.930                  -2.610100
 2867.190                  -3.063300
 2870.510                  -3.177000
 2873.850                  -3.177600
 2877.410                  -1.820900
 2881.120                   0.440900
 2884.720                   2.023900
 2888.040                   1.910200
 2891.260                   1.230800
 2894.640                   1.456400
 2897.570                  -1.032800
 2900.720                  -2.164600
 2904.040                  -2.278300
 2907.510                  -1.487200
 2911.050                  -0.243400
 2914.440                   0.095200
 2917.760                  -0.018400
 2921.100                  -0.019100
 2924.550                   0.658900
 2928.150                   2.242000
 2931.800                   4.164300
 2935.140                   4.163800
 2938.380                   3.597500
 2941.520                   2.352600
 2944.820                   2.125700
 2948.160                   2.125000
 2951.490                   2.124500
 2954.830                   2.123800
 2958.020                   1.218300
 2961.080                  -0.479200
 2964.360                  -0.819100
 2967.650                  -1.159100
 2971.170                  -0.028500
 2974.690                   1.102000
 2978.270                   2.571800
 2981.780                   3.589400
 2985.150                   3.814900
 2988.380                   3.135600
 2991.460                   1.551300
 2994.610                   0.419500
 2997.950                   0.418900
 3001.400                   1.096900
 3004.840                   1.775100
 3008.160                   1.661200
 3011.220                  -0.036100
 3014.340                  -1.394200
 3017.710                  -1.168500
 3021.220                  -0.151100
 3024.890                   1.884400
 3028.600                   4.146100
 3032.140                   5.389700
 3035.520                   5.615400
 3039.060                   6.859000
 3042.730                   8.894600
 3046.180                   9.572600
 3049.850                  11.608200
 3053.450                  13.191200
 3057.360                  16.697200
 3060.810                  17.375300
 3064.210                  17.714000
 3067.060                  14.772300
 3070.030                  12.509300
 3072.940                   9.907000
 3075.870                   7.417700
 3079.100                   6.738500
 3082.620                   7.869000
 3086.200                   9.338800
 3089.850                  11.261300
 3093.890                  15.559100
 3097.550                  17.481500
 3101.130                  18.951400
 3104.450                  18.837700
 3107.650                  18.045200
 3110.790                  16.800200
 3114.050                  16.347200
 3117.130                  14.762800
 3120.410                  14.422900
 3124.420                  18.494500
 3127.760                  18.493900
 3131.260                  19.511300
 3134.580                  19.397600
 3137.420                  16.342800
 3140.380                  14.079700
 3143.420                  12.269300
 3146.820                  12.607900
 3150.230                  13.059800
 3154.160                  16.678900
 3157.540                  16.904600
 3160.860                  16.790800
 3164.320                  17.582000
 3168.030                  19.843800
 3171.430                  20.182400
 3175.040                  21.878700
 3178.360                  21.764900
 3181.500                  20.520000
 3184.610                  19.161900
 3187.760                  18.030000
 3190.950                  17.124500
 3194.140                  16.218900
 3197.350                  15.426500
 3200.690                  15.425800
 3204.100                  15.877700
 3207.490                  16.216400
 3210.870                  16.442100
 3214.190                  16.328300
 3217.380                  15.422700
 3220.550                  14.404000
 3223.770                  13.724600
 3227.020                  13.158500
 3230.190                  12.139700
 3233.320                  10.894900
 3236.570                  10.328600
 3239.760                   9.423000
 3242.910                   8.291200
 3246.170                   7.838100
 3249.490                   7.724400
 3252.850                   7.836800
 3256.220                   8.062500
 3259.690                   8.853700
 3263.230                  10.097400
 3266.610                  10.322900
 3269.930                  10.209100
 3273.080                   9.077400
 3276.160                   7.493100
 3279.590                   8.058100
 3282.480                   5.342600
 3285.750                   4.889500
 3289.100                   5.002000
 3292.760                   6.924300
 3296.110                   7.036900
 3299.540                   7.601800
 3302.790                   7.035600
 3306.050                   6.582500
 3309.090                   4.772000
 3312.150                   3.074500
 3315.230                   1.490300
 3318.420                   0.584700
 3321.590                  -0.434000
 3324.950                  -0.321500
 3328.410                   0.469700
 3331.810                   0.808500
 3335.070                   0.355300
 3338.390                   0.241600
 3341.730                   0.240900
 3345.180                   0.919000
 3348.460                   0.579000
 3352.470                   4.650600
 3355.920                   5.328800
 3359.250                   5.328100
 3362.540                   4.988200
 3365.350                   1.820200
 3368.600                   1.254000
 3371.920                   1.140200
 3375.130                   0.347700
 3378.260                  -0.897100
 3381.600                  -0.897800
 3385.080                   0.006600
 3388.720                   1.815800
 3392.060                   1.815200
 3395.210                   0.683300
 3398.210                  -1.353500
 3401.530                  -1.467100
 3404.870                  -1.467800
 3408.210                  -1.468400
 3411.490                  -1.808400
 3414.680                  -2.713900
 3418.020                  -2.714600
 3421.410                  -2.375900
 3424.560                  -3.507700
 3428.790                   1.921300
 3431.870                   0.337100
 3434.800                  -2.152200
 3437.970                  -3.170800
 3441.460                  -2.266600
 3444.940                  -1.362200
 3448.610                   0.673300
 3452.140                   1.803800
 3455.400                   1.350700
 3458.290                  -1.364800
 3461.610                  -1.478500
 3465.060                  -0.800400
 3468.680                   0.895800
 3472.180                   1.913200
 3475.730                   3.156800
 3479.400                   5.192400
 3482.790                   5.531000
 3486.130                   5.530500
 3489.410                   5.190400
 3492.470                   3.493100
 3495.850                   3.718600
 3498.590                   0.098300
 3501.540                  -2.277900
 3504.780                  -2.844100
 3508.060                  -3.184100
 3511.460                  -2.845400
 3514.890                  -2.280400
 3518.520                  -0.471100
 3522.010                   0.433200
 3525.350                   0.432600
 3528.720                   0.658100
 3532.060                   0.657600
 3535.180                  -0.700500
 3538.510                  -0.701100
 3542.000                   0.203200
 3545.750                   2.691200
 3549.250                   3.708600
 3552.630                   3.934300
 3555.930                   3.707300
 3559.190                   3.254200
 3562.420                   2.574900
 3565.570                   1.443000
 3568.700                   0.198200
 3571.860                  -0.933700
 3575.170                  -1.047400
 3578.810                   0.761800
 3582.200                   1.100500
 3585.580                   1.326200
 3588.750                   0.307500
 3591.640                  -2.408000
 3594.760                  -3.766000
 3598.090                  -3.766600
 3601.560                  -2.975500
 3604.990                  -2.410400
 3608.550                  -1.053700
 3611.870                  -1.167500
 3615.140                  -1.620500
 3618.210                  -3.204900
 3621.610                  -2.866100
 3625.040                  -2.301200
 3628.360                  -2.414800
 3631.660                  -2.641800
 3635.000                  -2.642500
 3638.320                  -2.756100
 3641.540                  -3.435500
 3644.550                  -5.472200
 3647.860                  -5.586000
 3651.350                  -4.681600
 3654.780                  -4.116700
 3658.050                  -4.569800
 3662.130                  -0.045700
 3665.460                  -0.046400
 3668.710                  -0.612500
 3671.990                  -0.952600
 3675.440                  -0.274400
 3678.960                   0.856100
 3682.820                   4.022800
 3686.330                   5.040200
 3689.660                   5.039500
 3692.840                   4.020900
 3696.170                   4.020200
 3699.510                   4.019700
 3702.900                   4.358300
 3706.280                   4.584000
 3709.600                   4.470200
 3712.860                   4.017100
 3716.030                   2.998400
 3719.350                   2.884600
 3722.690                   2.884100
 3726.010                   2.770300
 3729.120                   1.412300
 3732.440                   1.298500
 3735.500                  -0.398900
 3738.300                  -3.680000
 3741.680                  -3.454400
 3745.020                  -3.455000
 3748.320                  -3.681900
 3751.650                  -3.682500
 3755.160                  -2.665100
 3758.530                  -2.439400
 3762.130                  -0.856400
 3765.920                   1.857700
 3769.270                   1.970300
 3772.610                   1.969600
 3775.740                   0.724700
 3778.930                  -0.180900
 3782.230                  -0.407700
 3785.890                   1.514700
 3789.560                   3.550200
 3792.990                   4.115100
 3796.310                   4.001300
 3799.650                   4.000800
 3802.580                   1.511500
 3805.930                   1.624000
 3809.290                   1.736500
 3812.650                   1.849000
 3816.100                   2.527100
 3819.540                   3.205100
 3823.530                   7.163700
 3826.960                   7.728600
 3830.320                   7.841100
 3833.560                   7.274900
 3836.330                   3.767600
 3839.330                   1.730800
 3842.670                   1.730300
 3846.380                   3.991900
 3850.030                   5.914300
 3853.390                   6.026800
 3856.480                   4.555600
 3859.510                   2.632000
 3862.600                   1.160800
 3865.870                   0.707800
 3869.200                   0.707100
 3872.650                   1.385100
 3876.490                   4.438800
 3880.110                   6.134900
 3883.470                   6.247400
 3886.770                   6.020500
 3889.810                   4.210000
 3892.700                   1.494500
 3896.020                   1.380800
 3899.360                   1.380100
 3902.660                   1.153200
 3905.640                  -0.996600
 3908.830                  -1.902200
 3912.170                  -1.902800
 3915.880                   0.358900
 3919.900                   4.543700
 3923.610                   6.805400
 3927.010                   7.144100
 3930.310                   6.917300
 3933.350                   5.106700
 3936.590                   4.540600
 3939.950                   4.653000
 3943.290                   4.652400
 3946.400                   3.294300
 3949.200                   0.013300
 3952.370                  -1.005400
 3955.470                  -2.476600
 3958.810                  -2.477200
 3962.260                  -1.799200
 3965.760                  -0.781700
 3969.140                  -0.556100
 3972.940                   2.271300
 3976.280                   2.270600
 3979.540                   1.817500
 3982.840                   1.590700
 3986.210                   1.816200
 3989.570                   1.928800
 3993.020                   2.606800
 3996.360                   2.606200
 3999.580                   1.926800
 4002.160                  -2.711700
 4005.350                  -3.617200
 4008.820                  -2.826000
 4012.400                  -1.356100
 4015.530                  -2.601000
 4019.970                   4.072400
 4023.060                   2.601200
 4025.970                  -0.001100
 4029.090                  -1.359200
 4032.480                  -1.020600
 4036.390                   2.485500
 4039.840                   3.163600
 4043.160                   3.049900
 4045.830                  -1.023100
 4049.190                  -0.910500
 4051.860                  -4.983400
 4055.200                  -4.984100
 4058.720                  -3.853500
 4062.410                  -1.704900
 4066.060                   0.217500
 4069.620                   1.574300
 4073.200                   3.044200
 4076.520                   2.930400
 4079.750                   2.251200
 4082.920                   1.232400
 4085.940                  -0.691300
 4089.080                  -1.936100
 4092.300                  -2.615500
 4095.550                  -3.181700
 4098.980                  -2.616800
 4102.350                  -2.391100
 4105.730                  -2.165500
 4109.010                  -2.505600
 4112.240                  -3.184800
 4115.560                  -3.298600
 4118.880                  -3.412300
 4122.470                  -1.829400
 4125.980                  -0.811900
 4129.390                  -0.360100
 4132.710                  -0.473700
 4135.820                  -1.831800
 4138.830                  -3.868700
 4142.070                  -4.434800
 4145.410                  -4.435500
 4148.860                  -3.757300
 4152.420                  -2.400600
 4155.760                  -2.401200
 4159.020                  -2.854300
 4162.290                  -3.307500
 4165.460                  -4.326100
 4168.660                  -5.118600
 4171.890                  -5.797900
 4175.080                  -6.703500
 4178.360                  -7.043400
 4181.700                  -7.044100
 4185.080                  -6.818400
 4188.710                  -5.009200
 4192.360                  -3.086900
 4195.870                  -2.069400
 4199.650                   0.644800
 4203.310                   2.567200
 4207.070                   5.168300
 4210.690                   6.864500
 4214.040                   6.976900
 4217.360                   6.863100
 4220.310                   4.487100
 4223.440                   3.242100
 4226.490                   1.431600
 4229.670                   0.526000
 4232.790                  -0.832000
 4236.050                  -1.285100
 4239.370                  -1.398900
 4242.470                  -2.870000
 4245.580                  -4.228100
 4248.760                  -5.246800
 4252.040                  -5.586800
 4255.390                  -5.474200
 4258.810                  -5.022500
 4262.270                  -4.231200
 4265.870                  -2.648200
 4269.230                  -2.535800
 4272.570                  -2.536300
 4275.850                  -2.876400
 4279.000                  -4.008100
 4282.320                  -4.121900
 4285.640                  -4.235600
 4288.880                  -4.801900
 4292.150                  -5.255000
 4295.500                  -5.142500
 4298.880                  -4.916900
 4302.240                  -4.804400
 4305.680                  -4.126300
 4309.170                  -3.222000
 4312.580                  -2.770200
 4316.110                  -1.639500
 4319.570                  -0.848400
 4322.910                  -0.849100
 4326.160                  -1.415200
 4329.290                  -2.660200
 4332.590                  -2.887000
 4335.740                  -4.018900
