;wave = wavelength (um)
;flux = flux (W/cm^2/um)
;stdev = standard deviation of flux measurement (W/cm^2/um)
;det = LWS detector number (0-9)
;line = LWS line number (0-9)
 
wave    flux         stdev           det   line
120.9288  1.03236e-19  3.75160e-21      6      0
121.0652  1.03925e-19  4.46759e-21      6      0
121.2015  1.04343e-19  4.39753e-21      6      0
121.3377  1.07751e-19  5.24902e-21      6      0
121.4737  1.05165e-19  3.97276e-21      6      0
121.5962  1.04895e-19  4.38094e-21      6      0
121.7321  1.05672e-19  6.40708e-21      6      0
121.8680  9.99158e-20  6.00772e-21      6      0
122.0037  1.11624e-19  9.92681e-21      6      0
137.9894  7.90144e-20  6.17524e-21      7      0
138.1256  7.30578e-20  5.03852e-21      7      0
138.2617  7.49941e-20  4.40730e-21      7      0
138.3976  7.94966e-20  5.16424e-21      7      0
138.5334  8.36459e-20  4.23276e-21      7      0
138.6691  8.20446e-20  4.47799e-21      7      0
138.8046  8.40226e-20  4.83957e-21      7      0
138.9400  7.65312e-20  3.79162e-21      7      0
139.0753  7.28413e-20  2.80234e-21      7      0
139.1970  7.43635e-20  3.89295e-21      7      0
139.3320  7.87902e-20  3.49728e-21      7      0
139.4669  7.54416e-20  4.51046e-21      7      0
139.6018  7.33453e-20  4.08243e-21      7      0
139.7365  7.64931e-20  4.43230e-21      7      0
139.8711  7.37653e-20  4.34915e-21      7      0
140.0055  8.00109e-20  3.80127e-21      7      0
140.1399  8.02618e-20  3.74551e-21      7      0
140.2742  7.62766e-20  4.27569e-21      7      0
140.4083  7.57240e-20  4.21175e-21      7      0
140.5423  7.56603e-20  4.65625e-21      7      0
140.6763  7.74543e-20  4.50090e-21      7      0
140.8101  7.70740e-20  4.03525e-21      7      0
140.9438  8.22627e-20  4.58353e-21      7      0
141.0775  7.40677e-20  5.08758e-21      7      0
141.1977  7.40471e-20  5.31555e-21      7      0
141.3311  7.36406e-20  3.65646e-21      7      0
141.4644  7.81385e-20  5.72832e-21      7      0
141.5977  7.47279e-20  5.86445e-21      7      0
156.8622  6.90692e-20  5.54098e-21      8      0
156.9940  7.34065e-20  4.03769e-21      8      0
157.1256  6.91339e-20  3.85061e-21      8      0
157.2571  7.47506e-20  3.45701e-21      8      0
157.3884  6.63656e-20  3.56352e-21      8      0
157.5196  7.56947e-20  4.77675e-21      8      0
157.6506  7.24424e-20  3.86962e-21      8      0
157.7815  7.26142e-20  3.69471e-21      8      0
157.9123  8.07401e-20  4.46426e-21      8      0
158.0299  7.91923e-20  3.99724e-21      8      0
158.1604  8.68172e-20  4.76351e-21      8      0
158.2908  1.02163e-19  4.78902e-21      8      0
158.4211  1.33465e-19  5.36853e-21      8      0
158.5513  1.41844e-19  4.05740e-21      8      0
158.6813  1.45786e-19  5.62642e-21      8      0
158.8112  1.29093e-19  5.85762e-21      8      0
158.9410  1.13925e-19  6.54088e-21      8      0
159.0707  9.75034e-20  5.10424e-21      8      0
159.2002  7.87754e-20  4.20084e-21      8      0
159.3297  6.99504e-20  4.04169e-21      8      0
159.4590  7.78963e-20  5.75207e-21      8      0
159.5882  6.95138e-20  4.49021e-21      8      0
159.7173  6.98223e-20  5.08276e-21      8      0
159.8334  6.93865e-20  4.66815e-21      8      0
159.9624  7.49609e-20  5.88132e-21      8      0
160.0911  6.68052e-20  4.52201e-21      8      0
160.2198  6.75865e-20  5.73712e-21      8      0
160.3484  6.07245e-20  8.86829e-21      8      0
174.4655  2.45846e-20  2.20574e-20      9      0
174.5907  3.27956e-20  1.16517e-20      9      0
174.7158  3.56321e-20  1.56379e-20      9      0
174.8408  4.77595e-20  1.42948e-20      9      0
174.9656  2.66060e-20  1.56372e-20      9      0
175.0902  1.94081e-20  1.50249e-20      9      0
175.2148  3.36273e-20  1.55387e-20      9      0
175.3391  5.88821e-20  1.42552e-20      9      0
175.4634  4.98118e-20  1.65506e-20      9      0
175.5751  2.89315e-20  1.39958e-20      9      0
175.6991  3.56333e-20  1.86790e-20      9      0
175.8229  8.61688e-21  1.66868e-20      9      0
175.9466  1.56455e-20  1.97884e-20      9      0
176.0702  9.26663e-21  2.04082e-20      9      0
176.1937  3.72443e-20  1.62931e-20      9      0
176.3170  3.44129e-20  1.59039e-20      9      0
176.4402  4.23570e-20  1.98339e-20      9      0
176.5633  5.39723e-20  1.38808e-20      9      0
176.6862  2.97146e-20  2.19181e-20      9      0
176.8090  2.86867e-20  1.59794e-20      9      0
176.9317  3.66940e-20  1.99363e-20      9      0
177.0543  3.15171e-20  1.62118e-20      9      0
177.1768  8.94020e-21  1.81482e-20      9      0
177.2991  2.12629e-20  1.65287e-20      9      0
177.4092  3.06239e-20  1.37154e-20      9      0
177.5313  3.38416e-20  1.93539e-20      9      0
177.6533  5.04284e-20  1.67670e-20      9      0
177.7752  2.70373e-20  1.76627e-20      9      0
