#Wavelength         Spectrum        Cont-Subtr-Spectrum           Error           Mask
#[Angstrom]  [1.0E-17 erg/s/cm^2/A] [1.0E-17 erg/s/cm^2/A] [1.0E-17 erg/s/cm^2/A] [Bit Array]
3967.35            56.507700             8.427608               4.073389                0
3968.26            51.173500             3.136349               3.997152                0
3969.17            47.540800            -0.496353               3.971645                0
3970.09            48.746700             0.681068               4.053060                0
3971.00            51.698300             3.590763               4.209666                0
3971.92            48.174800             0.109169               4.272529                0
3972.83            42.179200            -5.887287               4.263991                0
3973.75            40.273800            -7.792686               4.265403                0
3974.66            43.672400            -4.394085               4.301686                0
3975.58            48.712800             0.646313               4.354813                0
3976.49            44.030200            -4.078186               4.268413                0
3977.41            47.646800            -0.504322               4.355300                0
3978.32            36.967700            -11.183420               4.147393                0
3979.24            38.185700            -9.965424               4.115355                0
3980.16            45.346500            -2.846020               4.146159                0
3981.07            40.566600            -7.635574               4.032288                0
3981.99            39.565600            -8.636574               3.922902                0
3982.91            43.377300            -4.824875               3.883464                0
3983.82            34.994000            -13.208180               3.692257                0
3984.74            38.459600            -9.742577               3.763547                0
3985.66            32.211600            -15.990570               3.647098                0
3986.58            35.086000            -13.116180               3.659397                0
3987.49            28.959800            -19.242370               3.445692                0
3988.41            24.429300            -23.772870               3.284339                0
3989.33            24.179700            -24.022470               3.217574                0
3990.25            21.237200            -26.964980               3.159325                0
3991.17            23.452900            -24.749280               3.146631                0
3992.09            31.826900            -16.375270               3.290920                0
3993.01            33.092200            -15.109970               3.387556                0
3993.93            30.908800            -17.293380               3.419676                0
3994.85            28.263900            -19.938270               3.405283                0
3995.77            27.600500            -20.601680               3.314773                0
3996.69            29.293900            -18.886910               3.272959                0
3997.61            38.037800            -10.100870               3.350267                0
3998.53            39.003200            -9.141331               3.426384                0
3999.45            36.614200            -11.494740               3.437323                0
4000.37            37.616100            -10.492840               3.467522                0
4001.29            38.136100            -9.990177               3.487408                0
4002.21            37.879000            -10.207580               3.430317                0
4003.13            42.433500            -5.613808               3.478847                0
4004.05            42.959600            -5.109718               3.489684                0
4004.98            48.078100             0.047317               3.553439                0
4005.90            46.320300            -1.671604               3.500795                0
4006.82            41.389100            -6.602806               3.430002                0
4007.74            47.918200            -0.073704               3.482345                0
4008.67            47.632000            -0.326271               3.488794                0
4009.59            45.396300            -2.523064               3.485516                0
4010.51            50.992100             3.085400               3.548116                0
4011.44            49.128400             1.221699               3.559404                0
4012.36            49.067000             1.160301               3.578105                0
4013.28            53.372100             5.506222               3.653238                0
4014.21            55.920400             8.096542               3.687745                0
4015.13            48.015900             0.235352               3.512203                0
4016.06            50.108700             2.355270               3.512991                0
4016.98            54.500500             6.747070               3.539767                0
4017.91            51.014900             3.261471               3.459284                0
4018.83            44.196300            -3.600555               3.372138                0
4019.76            47.501800            -0.295055               3.436950                0
4020.68            53.838800             6.041943               3.624885                0
4021.61            42.140600            -5.656258               3.534434                0
4022.54            46.672100            -1.141949               3.585068                0
4023.46            47.821900             0.007851               3.525825                0
4024.39            48.686600             0.915863               3.525244                0
4025.32            49.194100             1.466644               3.510583                0
4026.24            48.904100             1.201889               3.563470                0
4027.17            43.032100            -4.637547               3.590800                0
4028.10            47.124300            -0.504208               3.708846                0
4029.03            58.308500            10.721860               3.896920                0
4029.95            51.141700             3.534943               3.776320                0
4030.88            47.465100            -0.182114               3.621546                0
4031.81            51.848600             4.206093               3.577210                0
4032.74            44.178800            -3.502895               3.352072                0
4033.67            49.282000             1.600307               3.427424                0
4034.60            56.251300             8.598278               3.513598                0
4035.52            55.888300             8.235279               3.475610                0
4036.45            48.720600             1.067577               3.398660                0
4037.38            50.358900             2.705875               3.488030                0
4038.31            56.716900             9.063877               3.651958                0
4039.24            51.265600             3.612576               3.641288                0
4040.17            51.839700             4.205391               3.674495                0
4041.10            50.197900             2.544876               3.576850                0
4042.03            52.365700             4.694065               3.553460                0
4042.97            58.478800            10.785900               3.639652                0
4043.90            49.411100             1.699623               3.534562                0
4044.83            55.433800             7.714977               3.639956                0
4045.76            53.974900             6.277771               3.743898                0
4046.69            49.736800             2.021561               3.817620                0
4047.62            53.979300             6.264061               3.934941                0
4048.55            55.040600             7.303738               3.896074                0
4049.49            54.915500             7.200260               3.793549                0
4050.42            50.569100             2.832237               3.584379                0
4051.35            61.886600            14.130360               3.761076                0
4052.29            54.226100             6.469181               3.743885                0
4053.22            56.875900             9.085651               3.797251                0
4054.15            52.526900             4.759010               3.991194                0
4055.09            48.546400             0.778507               3.983416                0
4056.02            48.935300             1.137966               3.466503                0
4056.95            48.242100             0.444767               3.465521                0
4057.89            47.710300            -0.060680               3.458823                0
4058.82            50.821600             3.050621               3.507585                0
4059.76            50.793600             3.060932               3.570960                0
4060.69            49.009900             1.316170               4.151616                0
